english;ipa;portuguese;level;tags
bluntly;;sem rodeios;A1;pack:inedita-20251231
bestowed;;concedido;A1;pack:inedita-20251231
blusterous;;fanfarrão;A1;pack:inedita-20251231
benchmark;;ponto de referência;A1;pack:inedita-20251231
blistering;;Bolhas;A1;pack:inedita-20251231
beaten;;Espancada.;A1;pack:inedita-20251231
bleat;;balido;A1;pack:inedita-20251231
begrudge;;inveja;A1;pack:inedita-20251231
blabber;;tagarela;A1;pack:inedita-20251231
belligerence;;Beligerância;A1;pack:inedita-20251231
bewitching;;enfeitiçante;A1;pack:inedita-20251231
bloodcurdling;;gelar o sangue;A1;pack:inedita-20251231
beleaguered;;sitiada;A1;pack:inedita-20251231
blur;;desfocar;A1;pack:inedita-20251231
blueprint;;diagrama;A1;pack:inedita-20251231
besmirch;;manchar;A1;pack:inedita-20251231
blanched;;branqueado;A1;pack:inedita-20251231
blue-blooded;;Sangue-Azul;A1;pack:inedita-20251231
belittling;;menosprezar;A1;pack:inedita-20251231
blister;;bolha;A1;pack:inedita-20251231
bestiality;;bestialidade;A1;pack:inedita-20251231
benefice;;Beneficium;A1;pack:inedita-20251231
bland;;Doce;A1;pack:inedita-20251231
bellows;;foles;A1;pack:inedita-20251231
blooming;;Exsudação;A1;pack:inedita-20251231
bloody;;Sangrento;A1;pack:inedita-20251231
belfry;;campanário;A1;pack:inedita-20251231
bender;;Dobrador;A2;pack:inedita-20251231
blotch;;mancha;A2;pack:inedita-20251231
beginner;;Iniciante;A2;pack:inedita-20251231
bloodbath;;Banho de sangue;A2;pack:inedita-20251231
berated;;repreendido;A2;pack:inedita-20251231
berylline;;berilina;A2;pack:inedita-20251231
beseechment;;súplica;A2;pack:inedita-20251231
beginning;;início;A2;pack:inedita-20251231
bearish;;baixista;A2;pack:inedita-20251231
bewilder;;desconcertante;A2;pack:inedita-20251231
blah;;Blá!;A2;pack:inedita-20251231
bloodthirsty;;Sanguinário;A2;pack:inedita-20251231
bellerophon;;Belerofonte;A2;pack:inedita-20251231
benefaction;;benfeitoria;A2;pack:inedita-20251231
bluish;;azulado;A2;pack:inedita-20251231
benignly;;benignamente;A2;pack:inedita-20251231
blandish;;lisonjeiro;A2;pack:inedita-20251231
blustery;;Tempestuoso;A2;pack:inedita-20251231
blighter;;do Espelho;A2;pack:inedita-20251231
bleakness;;desolação;A2;pack:inedita-20251231
bemusedly;;confusamente;A2;pack:inedita-20251231
blastment;;explosão;A2;pack:inedita-20251231
blitheful;;alegre;A2;pack:inedita-20251231
beaver;;Castor;A2;pack:inedita-20251231
bearer;;Portador;A2;pack:inedita-20251231
bloke;;cara;A2;pack:inedita-20251231
beastly;;Bestial.;B1;pack:inedita-20251231
bestowal;;outorga;B1;pack:inedita-20251231
beamed;;vigas;B1;pack:inedita-20251231
begged;;implorou;B1;pack:inedita-20251231
bloodlust;;Sede de Sangue;B1;pack:inedita-20251231
blustering;;fanfarronice;B1;pack:inedita-20251231
beliefs;;crenças;B1;pack:inedita-20251231
blossomed;;floresceu;B1;pack:inedita-20251231
blubbering;;choramingando;B1;pack:inedita-20251231
bemoaned;;lamentou;B1;pack:inedita-20251231
bellicism;;Belicismo;B1;pack:inedita-20251231
bestialist;;bestialista;B1;pack:inedita-20251231
bean-eater;;comedor de feijão;B1;pack:inedita-20251231
belly;;barriga;B1;pack:inedita-20251231
blinding;;"caráter cego; modo cego";B1;pack:inedita-20251231
blab;;dedurar;B1;pack:inedita-20251231
bloodletting;;Sanguinolência;B1;pack:inedita-20251231
bludgeon;;Porrete;B1;pack:inedita-20251231
besiege;;Cerco;B1;pack:inedita-20251231
blaspheme;;Blasfémia;B1;pack:inedita-20251231
blasphemous;;Blasfémia;B1;pack:inedita-20251231
beaut;;Beleza;B1;pack:inedita-20251231
blameless;;irrepreensível;B1;pack:inedita-20251231
befitting;;condizente;B1;pack:inedita-20251231
belonging;;pertencimento;B1;pack:inedita-20251231
blusher;;Blush.;B1;pack:inedita-20251231
beggary;;Mendigo;B1;pack:inedita-20251231
bloodstained;;manchado de sangue;B2;pack:inedita-20251231
blue-eyed;;Olho Azul;B2;pack:inedita-20251231
befogged;;nebulizado;B2;pack:inedita-20251231
begrudging;;invejoso;B2;pack:inedita-20251231
bleary-eyed;;olhos turvos;B2;pack:inedita-20251231
bestowment;;outorga;B2;pack:inedita-20251231
besmirched;;manchado;B2;pack:inedita-20251231
blaspheming;;blasfemar;B2;pack:inedita-20251231
beaner;;papelão;B2;pack:inedita-20251231
beguilingly;;sedutoramente;B2;pack:inedita-20251231
benefiter;;beneficiador;B2;pack:inedita-20251231
blam;;BLAM!;B2;pack:inedita-20251231
belittlement;;depreciação;B2;pack:inedita-20251231
bloodsport;;Desporto sangrento;B2;pack:inedita-20251231
blumpkin;;mamalhau;B2;pack:inedita-20251231
blackbird;;Passaro preto;B2;pack:inedita-20251231
blending;;Mistura;B2;pack:inedita-20251231
beater;;Batedor;B2;pack:inedita-20251231
blacksmith;;ferreiro;B2;pack:inedita-20251231
bloodless;;Sem sangue.;B2;pack:inedita-20251231
bloated;;Inchado;B2;pack:inedita-20251231
beanbag;;saco de feijão;B2;pack:inedita-20251231
bleached;;branqueado;C1;pack:inedita-20251231
beanie;;Gorro;C1;pack:inedita-20251231
belligerency;;beligerância;C1;pack:inedita-20251231
blandishment;;brandura;C1;pack:inedita-20251231
bluntness;;franqueza;C1;pack:inedita-20251231
benedick;;Muito Barulho Por Nada;C1;pack:inedita-20251231
blatantly;;descaradamente;C1;pack:inedita-20251231
blackwater;;Águas Negras;C1;pack:inedita-20251231
belligerently;;beligerantemente;C1;pack:inedita-20251231
bewitched;;enfeitiçado;C1;pack:inedita-20251231
beseem;;convir;C1;pack:inedita-20251231
bellowing;;berro;C1;pack:inedita-20251231
blabbing;;deduragem;C1;pack:inedita-20251231
beastie;;"""Besta?""";C1;pack:inedita-20251231
belgard;;belga;C1;pack:inedita-20251231
blazoned;;brasonado;C1;pack:inedita-20251231
bloodletter;;sangria;C1;pack:inedita-20251231
beauteously;;beautously;C1;pack:inedita-20251231
belly-god;;deus-ventre;C1;pack:inedita-20251231
besmirchment;;mancha;C1;pack:inedita-20251231
belch;;ARROTAR;C2;pack:inedita-20251231
blindfold;;venda;C2;pack:inedita-20251231
bloat;;"""Bomba?""";C2;pack:inedita-20251231
bellyache;;Dor abdominal;C2;pack:inedita-20251231
blurb;;Sinopse;C2;pack:inedita-20251231
beatify;;beatificar;C2;pack:inedita-20251231
bloodhound;;CÃO DE CAÇA;C2;pack:inedita-20251231
benthos;;Bentos;C2;pack:inedita-20251231
