english;ipa;portuguese;level;tags
begging;;implorando;A1;pack:inedita-20251231-v3
beams;;vigas;A1;pack:inedita-20251231-v3
blessings;;Bênçãos;A1;pack:inedita-20251231-v3
beasts;;bestas;A1;pack:inedita-20251231-v3
blocking;;bloqueio;A1;pack:inedita-20251231-v3
bending;;dobragem;A1;pack:inedita-20251231-v3
belgium;;Bélgica;A1;pack:inedita-20251231-v3
believing;;do crer.;A1;pack:inedita-20251231-v3
bearings;;rolamentos;A1;pack:inedita-20251231-v3
beautifully;;belamente;A1;pack:inedita-20251231-v3
benefited;;beneficiadas;A1;pack:inedita-20251231-v3
blankets;;mantas;A1;pack:inedita-20251231-v3
beneficiaries;;projeto;A1;pack:inedita-20251231-v3
belonged;;pertencia;A1;pack:inedita-20251231-v3
conspicuous;;Claramente visível;A1;pack:inedita-20251231-v3
comprehensive;;abranqente;A1;pack:inedita-20251231-v3
consequently;;Consequentemente;A1;pack:inedita-20251231-v3
conversely;;diferentemente;A1;pack:inedita-20251231-v3
condemnation;;condenação.;A1;pack:inedita-20251231-v3
compelling;;Atraente;A1;pack:inedita-20251231-v3
concept;;Conceito;A1;pack:inedita-20251231-v3
contingent;;Contingente;A1;pack:inedita-20251231-v3
contention;;discórdia.;A1;pack:inedita-20251231-v3
compelled;;Obrigado;A1;pack:inedita-20251231-v3
concurrent;;concomitante;A1;pack:inedita-20251231-v3
conventional;;Convencional;A1;pack:inedita-20251231-v3
convergence;;convergência;A1;pack:inedita-20251231-v3
component;;componente;A1;pack:inedita-20251231-v3
composition;;composição;A1;pack:inedita-20251231-v3
concise;;conciso.;A1;pack:inedita-20251231-v3
conceded;;Concedido;A1;pack:inedita-20251231-v3
connection;;da conexão;A1;pack:inedita-20251231-v3
conception;;Concepção;A1;pack:inedita-20251231-v3
compassion;;compaixão;A1;pack:inedita-20251231-v3
consolation;;Consolação;A1;pack:inedita-20251231-v3
confined;;confinado.;A1;pack:inedita-20251231-v3
compliance;;conformidade;A1;pack:inedita-20251231-v3
comprise;;compreende = consiste de;A1;pack:inedita-20251231-v3
congregation;;congregação.;A1;pack:inedita-20251231-v3
consensus;;consenso;A1;pack:inedita-20251231-v3
comprehension;;Compreensão;A1;pack:inedita-20251231-v3
contemplation;;formal.;A1;pack:inedita-20251231-v3
comply;;cumprir;A1;pack:inedita-20251231-v3
confused;;confuso/a;A1;pack:inedita-20251231-v3
conjunction;;conjunção;A1;pack:inedita-20251231-v3
consciousness;;consciência;A1;pack:inedita-20251231-v3
constituent;;Constituinte;A1;pack:inedita-20251231-v3
contradiction;;GONTRADIUÃO;A1;pack:inedita-20251231-v3
concomitant;;Medicamentos;A1;pack:inedita-20251231-v3
committed;;comprometido;A1;pack:inedita-20251231-v3
continual;;Contínuo;A1;pack:inedita-20251231-v3
conform;;conformar;A1;pack:inedita-20251231-v3
concentrated;;concentrado;A1;pack:inedita-20251231-v3
consolidation;;consolidação.;A1;pack:inedita-20251231-v3
condemned;;Condenado;A1;pack:inedita-20251231-v3
contrasting;;Contrastante;A1;pack:inedita-20251231-v3
consideration;;consideração;A1;pack:inedita-20251231-v3
communal;;Comunidade;A1;pack:inedita-20251231-v3
contradictory;;contraditórios.;A1;pack:inedita-20251231-v3
comparable;;Comparável;A1;pack:inedita-20251231-v3
confrontation;;Confronto;A1;pack:inedita-20251231-v3
conformity;;conformidade;A1;pack:inedita-20251231-v3
commanding;;Comandando;A1;pack:inedita-20251231-v3
concluded;;Concluído;A1;pack:inedita-20251231-v3
consequences;;consequências;A1;pack:inedita-20251231-v3
composite;;composto;A1;pack:inedita-20251231-v3
constructive;;construtiva;A1;pack:inedita-20251231-v3
consul;;Cônsul;A1;pack:inedita-20251231-v3
commune;;Comunhão;A1;pack:inedita-20251231-v3
conceptual;;conceitual;A1;pack:inedita-20251231-v3
contribution;;contribuição;A1;pack:inedita-20251231-v3
communion;;comunhão;A1;pack:inedita-20251231-v3
consecutive;;Consecutiva;A1;pack:inedita-20251231-v3
commentary;;COMENTÁRIO;A1;pack:inedita-20251231-v3
conclusive;;providencias.;A1;pack:inedita-20251231-v3
conducive;;propício;A1;pack:inedita-20251231-v3
considered;;considerado;A1;pack:inedita-20251231-v3
concealed;;escondidas.;A2;pack:inedita-20251231-v3
consuming;;despende muito tempo.;A2;pack:inedita-20251231-v3
continually;;continuamente.;A2;pack:inedita-20251231-v3
configuration;;de configuração;A2;pack:inedita-20251231-v3
consumption;;consumo;A2;pack:inedita-20251231-v3
confront;;enfrentar;A2;pack:inedita-20251231-v3
conceived;;concebido;A2;pack:inedita-20251231-v3
complement;;complementar;A2;pack:inedita-20251231-v3
confusion;;confusão;A2;pack:inedita-20251231-v3
consistency;;consistência;A2;pack:inedita-20251231-v3
connected;;conectado;A2;pack:inedita-20251231-v3
compulsory;;compulsória;A2;pack:inedita-20251231-v3
consequent;;consequente;A2;pack:inedita-20251231-v3
confederate;;"<g id=""1"">&#xA0;confederado</g>";A2;pack:inedita-20251231-v3
consonant;;consoante;A2;pack:inedita-20251231-v3
commonplace;;ALGO QUE ACONTECE COM FREQUÊNCIA, LUGAR COMUM;A2;pack:inedita-20251231-v3
continuously;;continuamente;A2;pack:inedita-20251231-v3
conveyed;;transmitido (bem imóvel);A2;pack:inedita-20251231-v3
constraint;;constante;A2;pack:inedita-20251231-v3
confinement;;confinamento.;A2;pack:inedita-20251231-v3
convent;;CONVENC.;A2;pack:inedita-20251231-v3
conditions;;de operação;A2;pack:inedita-20251231-v3
constituted;;Constituída;A2;pack:inedita-20251231-v3
communication;;comunicação;A2;pack:inedita-20251231-v3
con;;golpe, fraude;A2;pack:inedita-20251231-v3
contour;;contorno;A2;pack:inedita-20251231-v3
contingency;;contingências;A2;pack:inedita-20251231-v3
constable;;Sarah Constable.;A2;pack:inedita-20251231-v3
complementary;;complementar;A2;pack:inedita-20251231-v3
consistent;;consistente;A2;pack:inedita-20251231-v3
concerned;;preocupado;A2;pack:inedita-20251231-v3
concerning;;relativo;A2;pack:inedita-20251231-v3
considerably;;consideravelmente.;A2;pack:inedita-20251231-v3
confessed;;"<g id=""1"">- Confessou?</g>";A2;pack:inedita-20251231-v3
constructing;;Construindo;A2;pack:inedita-20251231-v3
constructed;;construída.;A2;pack:inedita-20251231-v3
confronted;;confrontado;A2;pack:inedita-20251231-v3
contemplated;;cogitada;A2;pack:inedita-20251231-v3
conversion;;conversão;A2;pack:inedita-20251231-v3
compensation;;remuneração;A2;pack:inedita-20251231-v3
confidential;;confidencial;A2;pack:inedita-20251231-v3
consolidated;;consolidado;A2;pack:inedita-20251231-v3
confirmation;;confirmação;A2;pack:inedita-20251231-v3
contraction;;Contração;A2;pack:inedita-20251231-v3
convex;;convexo;A2;pack:inedita-20251231-v3
conditional;;condicional;A2;pack:inedita-20251231-v3
compartment;;Compartimento;A2;pack:inedita-20251231-v3
comparative;;Comparativo;A2;pack:inedita-20251231-v3
complication;;problema.;A2;pack:inedita-20251231-v3
complicated;;complicada.;A2;pack:inedita-20251231-v3
confirmed;;confirmada;A2;pack:inedita-20251231-v3
conflicting;;contraditório, conflitante;A2;pack:inedita-20251231-v3
considering;;até pensando;A2;pack:inedita-20251231-v3
connecting;;conectando;A2;pack:inedita-20251231-v3
conducted;;conduzido.;A2;pack:inedita-20251231-v3
concepts;;conceitos;A2;pack:inedita-20251231-v3
communicated;;comunicada;A2;pack:inedita-20251231-v3
conquered;;conquistado;A2;pack:inedita-20251231-v3
congenital;;sonolência;A2;pack:inedita-20251231-v3
conservation;;conservação;A2;pack:inedita-20251231-v3
congestion;;congestão;A2;pack:inedita-20251231-v3
contractor;;contratada;A2;pack:inedita-20251231-v3
compatible;;compatível;A2;pack:inedita-20251231-v3
complexity;;complexidade;A2;pack:inedita-20251231-v3
consultation;;consulta;A2;pack:inedita-20251231-v3
constitutional;;CONSTITUCIONAL.;A2;pack:inedita-20251231-v3
consultant;;consultor;A2;pack:inedita-20251231-v3
controlled;;controlado;A2;pack:inedita-20251231-v3
constantly;;constantemente;A2;pack:inedita-20251231-v3
controlling;;Não;A2;pack:inedita-20251231-v3
convicted;;condenado;A2;pack:inedita-20251231-v3
