english;ipa;portuguese;level;tags
gleamingly;;brilhantemente;A1;pack:inedita_missing
gleamy;;brilhante;A1;pack:inedita_missing
glean;;coletar;A1;pack:inedita_missing
gleaner;;cosechador;A1;pack:inedita_missing
gleaners;;ceifadores;A1;pack:inedita_missing
gleaning;;catação;A1;pack:inedita_missing
gleanings;;resquícios;A1;pack:inedita_missing
glebe;;gleba;A1;pack:inedita_missing
glede;;gavião;A1;pack:inedita_missing
gleeful;;alegre;A1;pack:inedita_missing
gleefully;;alegremente;A1;pack:inedita_missing
gleefulness;;alegria;A1;pack:inedita_missing
gleesome;;alegre;A1;pack:inedita_missing
gleety;;gotejante;A1;pack:inedita_missing
gleg;;ágil;A1;pack:inedita_missing
gley;;glei;A1;pack:inedita_missing
glib;;fácil;A1;pack:inedita_missing
glibbery;;escorregadio;A1;pack:inedita_missing
glibly;;facilmente;A1;pack:inedita_missing
glibness;;fácilidade;A1;pack:inedita_missing
gliddery;;escorregadio;A1;pack:inedita_missing
glider;;planador;A1;pack:inedita_missing
glides;;desliza;A1;pack:inedita_missing
gliff;;glifo;A1;pack:inedita_missing
glim;;luzinha;A1;pack:inedita_missing
glimmering;;brilhante;A1;pack:inedita_missing
glimmeringly;;brilhantemente;A1;pack:inedita_missing
glimmers;;brilhos;A1;pack:inedita_missing
glimmery;;brilhante;A1;pack:inedita_missing
glimpsing;;vislumbrando;A1;pack:inedita_missing
glint;;brilho;A1;pack:inedita_missing
glinting;;brilhante;A1;pack:inedita_missing
glinty;;brilhante;A1;pack:inedita_missing
glioblasts;;glioblastos;A1;pack:inedita_missing
gliss;;deslizamento;A1;pack:inedita_missing
glissader;;deslizador;A1;pack:inedita_missing
glissy;;escorregadio;A1;pack:inedita_missing
glist;;brilhar;A1;pack:inedita_missing
glisten;;brilhar;A1;pack:inedita_missing
glistened;;brilhou;A1;pack:inedita_missing
glistener;;brilhante;A1;pack:inedita_missing
glisteny;;brilhante;A1;pack:inedita_missing
glister;;brilhar;A1;pack:inedita_missing
glistering;;brilhante;A1;pack:inedita_missing
glitch;;falha;A1;pack:inedita_missing
glitchery;;falha;A1;pack:inedita_missing
glitten;;brilhar;A1;pack:inedita_missing
glitterance;;brilho;A1;pack:inedita_missing
glittered;;brilhou;A1;pack:inedita_missing
glitterer;;brilhante;A1;pack:inedita_missing
glittery;;brilhante;A1;pack:inedita_missing
glitz;;brilho;A1;pack:inedita_missing
glitzy;;glamouroso;A1;pack:inedita_missing
gloam;;crepúsculo;A1;pack:inedita_missing
gloaming;;crepúsculo;A1;pack:inedita_missing
gloat;;vangloriar-se;A1;pack:inedita_missing
gloated;;vangloriou-se;A1;pack:inedita_missing
gloatily;;gulosamente;A1;pack:inedita_missing
gloatiness;;gabar-se;A1;pack:inedita_missing
gloating;;vangloriando-se;A1;pack:inedita_missing
gloatingly;;grosseiramente;A1;pack:inedita_missing
glob;;globo;A1;pack:inedita_missing
globalism;;globalismo;A1;pack:inedita_missing
globetrotter;;viajante;A1;pack:inedita_missing
globose;;globoso;A1;pack:inedita_missing
globule;;glóbulo;A1;pack:inedita_missing
globulus;;glóbulo;A1;pack:inedita_missing
glom;;agarrar;A1;pack:inedita_missing
glome;;glomero;A1;pack:inedita_missing
glomerate;;glomerado;A1;pack:inedita_missing
glomeration;;aglomerado;A1;pack:inedita_missing
glommed;;agarrado;A1;pack:inedita_missing
glomp;;abraço;A1;pack:inedita_missing
gloomful;;sombrio;A1;pack:inedita_missing
gloomfully;;sombrio;A1;pack:inedita_missing
gloomily;;sombrio;A1;pack:inedita_missing
gloominess;;melancolia;A1;pack:inedita_missing
glooming;;sombrio;A1;pack:inedita_missing
glooms;;sombras;A1;pack:inedita_missing
gloop;;gosma;A1;pack:inedita_missing
glop;;pasta;A1;pack:inedita_missing
gloppily;;grosseiramente;A1;pack:inedita_missing
gloppy;;pegajoso;A1;pack:inedita_missing
glore;;glória;A1;pack:inedita_missing
gloriation;;glorificação;A2;pack:inedita_missing
gloried;;glorificado;A2;pack:inedita_missing
gloriette;;glorieta;A2;pack:inedita_missing
glorieuse;;gloriosa;A2;pack:inedita_missing
glorification;;glorificação;A2;pack:inedita_missing
gloriously;;gloriosamente;A2;pack:inedita_missing
gloriousness;;gloriosidade;A2;pack:inedita_missing
gloryhole;;buraco da glória;A2;pack:inedita_missing
gloser;;glosar;A2;pack:inedita_missing
glossed;;glossado;A2;pack:inedita_missing
glossening;;brilho;A2;pack:inedita_missing
glossiness;;brilho;A2;pack:inedita_missing
glossology;;glossologia;A2;pack:inedita_missing
glott;;glote;A2;pack:inedita_missing
glottal;;glotal;A2;pack:inedita_missing
glottogony;;glotogonia;A2;pack:inedita_missing
glout;;glutão;A2;pack:inedita_missing
glower;;fitar;A2;pack:inedita_missing
glowered;;fuzilou;A2;pack:inedita_missing
glowering;;fuzilante;A2;pack:inedita_missing
glowers;;carrancas;A2;pack:inedita_missing
gloze;;glossar;A2;pack:inedita_missing
glug;;gole;A2;pack:inedita_missing
glugging;;gorgolejando;A2;pack:inedita_missing
glum;;triste;A2;pack:inedita_missing
glumly;;tristemente;A2;pack:inedita_missing
glumness;;tristeza;A2;pack:inedita_missing
glump;;tristeza;A2;pack:inedita_missing
glumpish;;melancólico;A2;pack:inedita_missing
glumpy;;triste;A2;pack:inedita_missing
glut;;excesso;A2;pack:inedita_missing
glutch;;glutão;A2;pack:inedita_missing
glute;;glúteo;A2;pack:inedita_missing
gluteal;;glúteo;A2;pack:inedita_missing
glutinate;;glutinar;A2;pack:inedita_missing
glutinous;;pegajoso;A2;pack:inedita_missing
glutted;;saturado;A2;pack:inedita_missing
glutton;;gula;A2;pack:inedita_missing
gluttonous;;gula;A2;pack:inedita_missing
gluttony;;gula;A2;pack:inedita_missing
glycemia;;glicemia;A2;pack:inedita_missing
glyph;;glifo;A2;pack:inedita_missing
glyphic;;glifos;A2;pack:inedita_missing
glyphs;;glifos;A2;pack:inedita_missing
glyptology;;gliptologia;A2;pack:inedita_missing
glyptotheca;;glyptoteca;A2;pack:inedita_missing
gr;;grama;A2;pack:inedita_missing
grabber;;pegador;A2;pack:inedita_missing
grabble;;agarrar;A2;pack:inedita_missing
grabbler;;agarrador;A2;pack:inedita_missing
grabby;;agarrador;A2;pack:inedita_missing
graced;;agraciado;A2;pack:inedita_missing
gracefulness;;graça;A2;pack:inedita_missing
graceless;;desajeitado;A2;pack:inedita_missing
gracelessly;;desajeitadamente;A2;pack:inedita_missing
gracelessness;;desajeitamento;A2;pack:inedita_missing
gracht;;canal;A2;pack:inedita_missing
gracile;;grácil;A2;pack:inedita_missing
gracility;;gracilidade;A2;pack:inedita_missing
graciousness;;graça;A2;pack:inedita_missing
grackle;;gralha;A2;pack:inedita_missing
grad;;graduação;A2;pack:inedita_missing
gradatim;;gradualmente;A2;pack:inedita_missing
gradation;;graduação;A2;pack:inedita_missing
gradational;;gradacional;A2;pack:inedita_missing
gradatory;;gradativo;A2;pack:inedita_missing
graden;;grama;A2;pack:inedita_missing
grader;;classificador;A2;pack:inedita_missing
gradine;;gradina;A2;pack:inedita_missing
gradualistic;;gradualista;A2;pack:inedita_missing
grafter;;gato;A2;pack:inedita_missing
grainy;;granulado;A2;pack:inedita_missing
graith;;equipamento;A2;pack:inedita_missing
gramarye;;magia;A2;pack:inedita_missing
grame;;grama;A2;pack:inedita_missing
gramercy;;obrigado;A2;pack:inedita_missing
gramineous;;gramínea;A2;pack:inedita_missing
grammarian;;gramático;A2;pack:inedita_missing
grammaticaster;;gramaticazinho;A2;pack:inedita_missing
grammelot;;gramelot;A2;pack:inedita_missing
grampus;;grampo;A2;pack:inedita_missing
granary;;celeiro;A2;pack:inedita_missing
grandame;;senhora;A2;pack:inedita_missing
grandee;;grandeza;A2;pack:inedita_missing
grandiloquence;;grandiloquência;A2;pack:inedita_missing
grandiloquent;;grandiloquente;A2;pack:inedita_missing
grandiloquently;;grandiloquentemente;A2;pack:inedita_missing
grandiloquous;;grandiloquente;A2;pack:inedita_missing
grandiosely;;grandiosamente;A2;pack:inedita_missing
grandioseness;;grandiosidade;B1;pack:inedita_missing
grandiosity;;grandiosidade;B1;pack:inedita_missing
grandity;;grandeza;B1;pack:inedita_missing
grandmaster;;grande mestre;B1;pack:inedita_missing
grandness;;grandeza;B1;pack:inedita_missing
grandsire;;avô;B1;pack:inedita_missing
grandsome;;grandioso;B1;pack:inedita_missing
grandstand;;arquibancada;B1;pack:inedita_missing
grandstanding;;exibição;B1;pack:inedita_missing
grangerize;;grangerizar;B1;pack:inedita_missing
grangers;;grangeiros;B1;pack:inedita_missing
granitic;;granítico;B1;pack:inedita_missing
