english;ipa;portuguese;level;tags
an't;;não;A1;pack:inedita_missing
anabranch;;anabranchia;A1;pack:inedita_missing
anadiplosis;;anadiplose;A1;pack:inedita_missing
anadrom;;anádromo;A1;pack:inedita_missing
anafront;;anafrente;A1;pack:inedita_missing
anagnorisis;;anagnorise;A1;pack:inedita_missing
anagoge;;anagogia;A1;pack:inedita_missing
anaicut;;anaique;A1;pack:inedita_missing
analecta;;analectos;A1;pack:inedita_missing
analgen;;analgésico;A1;pack:inedita_missing
analgia;;analgesia;A1;pack:inedita_missing
analingus;;anilingus;A1;pack:inedita_missing
anallactic;;análitico;A1;pack:inedita_missing
analogon;;analogo;A1;pack:inedita_missing
anankastic;;anancástico;A1;pack:inedita_missing
anastasia;;anastásia;A1;pack:inedita_missing
anastrophe;;anástrofe;A1;pack:inedita_missing
anc;;ancora;A1;pack:inedita_missing
ancienty;;antiguidade;A1;pack:inedita_missing
ancilla;;ancila;A1;pack:inedita_missing
ancon;;âncora;A1;pack:inedita_missing
andiron;;braseiro;A1;pack:inedita_missing
android;;androide;A1;pack:inedita_missing
andron;;andrão;A1;pack:inedita_missing
ane;;anel;A1;pack:inedita_missing
anele;;anel;A1;pack:inedita_missing
anergasia;;anergia;A1;pack:inedita_missing
anesis;;análise;A1;pack:inedita_missing
anestrum;;anestro;A1;pack:inedita_missing
angekok;;xamã;A1;pack:inedita_missing
angeldom;;angelitude;A1;pack:inedita_missing
angelot;;anjinho;A1;pack:inedita_missing
angers;;irrita;A1;pack:inedita_missing
anglepoise;;abajur;A1;pack:inedita_missing
angor;;angústia;A1;pack:inedita_missing
angst-ridden;;angustiado;A1;pack:inedita_missing
anguineal;;anguíneo;A1;pack:inedita_missing
anhelation;;anelação;A1;pack:inedita_missing
anhelous;;ansioso;A1;pack:inedita_missing
anhungered;;fome;A1;pack:inedita_missing
anicut;;anexo;A1;pack:inedita_missing
anigh;;perto;A1;pack:inedita_missing
anight;;uma noite;A1;pack:inedita_missing
anights;;noites;A1;pack:inedita_missing
animacy;;animacidade;A1;pack:inedita_missing
animadversion;;animação;A1;pack:inedita_missing
animadvert;;analisar;A1;pack:inedita_missing
animalcule;;animalculo;A1;pack:inedita_missing
animat;;animar;A1;pack:inedita_missing
animato;;animado;A1;pack:inedita_missing
animatron;;animatrônico;A1;pack:inedita_missing
animose;;animado;A1;pack:inedita_missing
animule;;animulinho;A1;pack:inedita_missing
anitya;;impermanência;A1;pack:inedita_missing
anker;;âncora;A1;pack:inedita_missing
anlace;;anelar;A1;pack:inedita_missing
anlage;;instalação;A1;pack:inedita_missing
anma;;anima;A1;pack:inedita_missing
annalist;;anlista;A1;pack:inedita_missing
annate;;anuidade;A1;pack:inedita_missing
annectant;;anexante;A1;pack:inedita_missing
annectent;;anexante;A1;pack:inedita_missing
annicut;;anicut;A1;pack:inedita_missing
annulet;;anelete;A1;pack:inedita_missing
ano;;year;A1;pack:inedita_missing
anociassociation;;anociassociação;A1;pack:inedita_missing
anoesis;;anoese;A1;pack:inedita_missing
anoestrum;;anoestrus;A1;pack:inedita_missing
anomal;;anômalo;A1;pack:inedita_missing
anonymuncule;;anônimos;A1;pack:inedita_missing
anoon;;não;A1;pack:inedita_missing
anoraky;;anorak;A1;pack:inedita_missing
anosmic;;anosmico;A1;pack:inedita_missing
anough;;suficiente;A1;pack:inedita_missing
anschauung;;visão;A1;pack:inedita_missing
answerde;;resposta;A1;pack:inedita_missing
answere;;resposta;A1;pack:inedita_missing
anteact;;anteceder;A1;pack:inedita_missing
antecedency;;antecedência;A1;pack:inedita_missing
antecedently;;antecedentemente;A1;pack:inedita_missing
antecursor;;antecessor;A1;pack:inedita_missing
antedater;;antecipar;A1;pack:inedita_missing
antedating;;antecedência;A1;pack:inedita_missing
antemortem;;ante-morte;A1;pack:inedita_missing
antemural;;ante-mural;A1;pack:inedita_missing
antepast;;antepasto;A1;pack:inedita_missing
anteportico;;antepórtico;A1;pack:inedita_missing
antetype;;antítipo;A1;pack:inedita_missing
anthe;;hino;A1;pack:inedita_missing
anthropolater;;antropolatra;A1;pack:inedita_missing
antic;;antigo;A1;pack:inedita_missing
antichthon;;antípoda;A1;pack:inedita_missing
antick;;antiquado;A1;pack:inedita_missing
anticke;;antiquado;A1;pack:inedita_missing
anticker;;antiquário;A1;pack:inedita_missing
anticlia;;anticlinal;A1;pack:inedita_missing
antient;;antigo;A1;pack:inedita_missing
antigod;;antideus;A1;pack:inedita_missing
antilogous;;antilógico;A1;pack:inedita_missing
antimask;;antimáscara;A1;pack:inedita_missing
antimetabole;;antimetábola;A1;pack:inedita_missing
antimonial;;antimonioso;A1;pack:inedita_missing
antinovel;;antinovela;A1;pack:inedita_missing
antiope;;antíope;A1;pack:inedita_missing
antipodal;;antípoda;A1;pack:inedita_missing
antipode;;antípode;A1;pack:inedita_missing
antiquer;;antiquar;A1;pack:inedita_missing
antiquous;;antiquado;A1;pack:inedita_missing
antithet;;antítese;A1;pack:inedita_missing
antler;;chifre;A1;pack:inedita_missing
antlia;;bomba;A1;pack:inedita_missing
antre;;antro;A1;pack:inedita_missing
antwacky;;antiquado;A1;pack:inedita_missing
anulus;;anel;A1;pack:inedita_missing
anythingarian;;nada;A1;pack:inedita_missing
anyting;;qualquer coisa;A1;pack:inedita_missing
anywhither;;a qualquer lugar;A1;pack:inedita_missing
ap;;aplicativo;A1;pack:inedita_missing
appal;;chocar;A1;pack:inedita_missing
appalment;;apavoramento;A1;pack:inedita_missing
appanage;;apanágio;A1;pack:inedita_missing
apparat;;aparelho;A1;pack:inedita_missing
apparatchiks;;aparelho;A1;pack:inedita_missing
appay;;não existe;A1;pack:inedita_missing
appeare;;aparecer;A1;pack:inedita_missing
appellative;;apelo;A1;pack:inedita_missing
appellatives;;apelações;A1;pack:inedita_missing
appendant;;apêndice;A1;pack:inedita_missing
apperceive;;aperceber;A1;pack:inedita_missing
apperil;;aparelho;A1;pack:inedita_missing
appertain;;pertencer;A1;pack:inedita_missing
appertainment;;apreciação;A1;pack:inedita_missing
appetence;;apetência;A1;pack:inedita_missing
appetent;;apetente;A1;pack:inedita_missing
apprisal;;avaliação;A1;pack:inedita_missing
apprise;;informar;A1;pack:inedita_missing
apprize;;avaliar;A1;pack:inedita_missing
apprizing;;avaliação;A1;pack:inedita_missing
approof;;aprovação;A1;pack:inedita_missing
appropinquation;;aproximação;A1;pack:inedita_missing
beachcomber;;catador de praia;A1;pack:inedita_missing
beady-eyed;;olho de pérola;A1;pack:inedita_missing
beamish;;radiante;A1;pack:inedita_missing
beamy;;radiante;A1;pack:inedita_missing
bearcat;;binturong;A1;pack:inedita_missing
beastling;;bichinho;A1;pack:inedita_missing
beatdown;;espancamento;A1;pack:inedita_missing
beath;;respiração;A2;pack:inedita_missing
beatific;;beatífico;A2;pack:inedita_missing
beaucoup;;muito;A2;pack:inedita_missing
beaupere;;sogro;A2;pack:inedita_missing
befit;;convir;A2;pack:inedita_missing
befog;;nebuloso;A2;pack:inedita_missing
befoul;;contaminar;A2;pack:inedita_missing
befoulment;;contaminação;A2;pack:inedita_missing
befuddle;;confundir;A2;pack:inedita_missing
begaze;;contemplar;A2;pack:inedita_missing
beging;;começo;A2;pack:inedita_missing
begrimed;;sujo;A2;pack:inedita_missing
belabor;;delongar;A2;pack:inedita_missing
belabour;;esmiuçar;A2;pack:inedita_missing
belaugh;;rir;A2;pack:inedita_missing
belay;;segurar;A2;pack:inedita_missing
beldam;;sereia;A2;pack:inedita_missing
beldame;;velha;A2;pack:inedita_missing
beleaguer;;assediar;A2;pack:inedita_missing
beleive;;acreditar;A2;pack:inedita_missing
belie;;desmentir;A2;pack:inedita_missing
belight;;iluminar;A2;pack:inedita_missing
belike;;provavelmente;A2;pack:inedita_missing
bellcote;;campanário;A2;pack:inedita_missing
belles-lettres;;belas-letras;A2;pack:inedita_missing
belletristic;;belletrística;A2;pack:inedita_missing
belling;;sino;A2;pack:inedita_missing
bellipotent;;poderoso;A2;pack:inedita_missing
belluine;;belo;A2;pack:inedita_missing
bellwether;;indicador;A2;pack:inedita_missing
beloathed;;odiado;A2;pack:inedita_missing
belvedere;;mirante;A2;pack:inedita_missing
bemazed;;desconcertado;A2;pack:inedita_missing
bemerded;;bemerdido;A2;pack:inedita_missing
bemock;;zombar;A2;pack:inedita_missing
bemuse;;confundir;A2;pack:inedita_missing
bemusement;;confusão;A2;pack:inedita_missing
ben;;benção;A2;pack:inedita_missing
bencher;;banco;A2;pack:inedita_missing
benefactions;;benesses;A2;pack:inedita_missing
benefic;;benéfico;A2;pack:inedita_missing
benight;;obscurecer;A2;pack:inedita_missing
benison;;bênção;A2;pack:inedita_missing
benumb;;entorpecer;A2;pack:inedita_missing
bereave;;privar;A2;pack:inedita_missing
bereaven;;enlutado;A2;pack:inedita_missing
berserk;;berserker;A2;pack:inedita_missing
berserkly;;berserker;A2;pack:inedita_missing
beseeming;;apropriado;A2;pack:inedita_missing
beseen;;verificado;A2;pack:inedita_missing
beshrew;;amaldiçoar;A2;pack:inedita_missing
beslobber;;besuntar;A2;pack:inedita_missing
besom;;vassoura;A2;pack:inedita_missing
besort;;desprezar;A2;pack:inedita_missing
bespeak;;encomendar;A2;pack:inedita_missing
bestead;;ajuda;A2;pack:inedita_missing
bestill;;acalmar;A2;pack:inedita_missing
bestir;;agitar;A2;pack:inedita_missing
bestraught;;desolado;A2;pack:inedita_missing
bestride;;montar;A2;pack:inedita_missing
bewake;;vigiar;A2;pack:inedita_missing
bewigged;;perucado;A2;pack:inedita_missing
bewonder;;admiração;A2;pack:inedita_missing
bewray;;trair;A2;pack:inedita_missing
bewrayer;;traidor;A2;pack:inedita_missing
blabbermouth;;tagarela;A2;pack:inedita_missing
blackamoor;;mouro;A2;pack:inedita_missing
blackball;;vetar;A2;pack:inedita_missing
blackberry;;mora;A2;pack:inedita_missing
blacktail;;cauda-preta;A2;pack:inedita_missing
blackwash;;desgaste;A2;pack:inedita_missing
blag;;enganar;A2;pack:inedita_missing
blaggard;;canalha;A2;pack:inedita_missing
blagging;;enganar;A2;pack:inedita_missing
blagueur;;brincalhão;A2;pack:inedita_missing
blare;;estrondo;A2;pack:inedita_missing
blarmed;;desconcertado;A2;pack:inedita_missing
blarney;;blábláblá;A2;pack:inedita_missing
blase;;blasé;A2;pack:inedita_missing
blate;;blaterar;A2;pack:inedita_missing
blather;;tagarelar;A2;pack:inedita_missing
blathered;;tagarelou;A2;pack:inedita_missing
blathering;;tagarelando;A2;pack:inedita_missing
blazon;;brasão;A2;pack:inedita_missing
blazoner;;heráldico;A2;pack:inedita_missing
blazonry;;heráldica;A2;pack:inedita_missing
blead;;sangrar;A2;pack:inedita_missing
blear;;embaçar;A2;pack:inedita_missing
blearily;;embaçadamente;A2;pack:inedita_missing
bleary;;embaçado;A2;pack:inedita_missing
blech;;eca;A2;pack:inedita_missing
blee;;não existe;A2;pack:inedita_missing
bleep;;bip;A2;pack:inedita_missing
blem;;mancha;A2;pack:inedita_missing
blench;;desviar;A2;pack:inedita_missing
blenk;;não existe;A2;pack:inedita_missing
blesse;;abençoar;A2;pack:inedita_missing
blewe;;azul;A2;pack:inedita_missing
blick;;olhar;A2;pack:inedita_missing
blicker;;pisca-pisca;A2;pack:inedita_missing
blimp;;dirigível;A2;pack:inedita_missing
blindside;;surpreender;A2;pack:inedita_missing
blingy;;brilhante;A2;pack:inedita_missing
blinkard;;cegueta;A2;pack:inedita_missing
blip;;ponto;A2;pack:inedita_missing
blissom;;felicidade;A2;pack:inedita_missing
blitheness;;alegria;A2;pack:inedita_missing
blithering;;tagarelando;A2;pack:inedita_missing
blithesome;;alegre;A2;pack:inedita_missing
blitzed;;atordoado;A2;pack:inedita_missing
blive;;não existe;A2;pack:inedita_missing
bloater;;baleia;A2;pack:inedita_missing
blockhead;;cabeça-dura;A2;pack:inedita_missing
bloodfest;;festim de sangue;A2;pack:inedita_missing
bloodmouth;;bocadode-sangue;A2;pack:inedita_missing
bloodwite;;sangue;A2;pack:inedita_missing
bloomer;;florista;A2;pack:inedita_missing
bloomers;;calças largas;A2;pack:inedita_missing
blotto;;bêbado;A2;pack:inedita_missing
blowback;;repercussão;A2;pack:inedita_missing
blowhard;;fanfarão;A2;pack:inedita_missing
blowout;;explosão;A2;pack:inedita_missing
blubbing;;choramingo;A2;pack:inedita_missing
bludge;;golpear;A2;pack:inedita_missing
bluing;;azulamento;A2;pack:inedita_missing
blurt;;soltar;A2;pack:inedita_missing
bluster;;bravata;A2;pack:inedita_missing
blusterer;;bravateiro;A2;pack:inedita_missing
comp;;composto;A2;pack:inedita_missing
esp;;espírito;B1;pack:inedita_missing
feedback;;retorno;B1;pack:inedita_missing
fo;;fofo;B1;pack:inedita_missing
foxtrot;;foxtrote;B1;pack:inedita_missing
g;;gê;B1;pack:inedita_missing
galet;;galete;B1;pack:inedita_missing
galluptious;;galluptioso;B1;pack:inedita_missing
glissade;;deslizamento;B1;pack:inedita_missing
graticule;;graticulado;B1;pack:inedita_missing
ins;;inscrição;B2;pack:inedita_missing
jake;;legal;B2;pack:inedita_missing
jo;;joia;B2;pack:inedita_missing
kam;;cama;B2;pack:inedita_missing
kami;;deus;B2;pack:inedita_missing
kant;;cantor;B2;pack:inedita_missing
kate;;catarina;B2;pack:inedita_missing
kernel;;núcleo;B2;pack:inedita_missing
vignette;;vignete;C1;pack:inedita_missing
wang;;pênis;C1;pack:inedita_missing
