english;ipa;portuguese;level;tags
ande;;e;A1;pack:inedita-20251231
antagonistical;;antagonista;A1;pack:inedita-20251231
antihuman;;anti-humano;A1;pack:inedita-20251231
anachronical;;anacrônico;A1;pack:inedita-20251231
anilinction;;anilinção;A1;pack:inedita-20251231
animalian;;animaliano;A1;pack:inedita-20251231
antedeluvian;;antedeluviano;A1;pack:inedita-20251231
anyhoo;;(R) Então...;A1;pack:inedita-20251231
anachoresis;;anacorese;A1;pack:inedita-20251231
analogate;;análogo;A1;pack:inedita-20251231
anesthesis;;anestesia;A1;pack:inedita-20251231
anthophyte;;antofito;A1;pack:inedita-20251231
antilifer;;antilífero;A1;pack:inedita-20251231
anachoric;;anacórico;A1;pack:inedita-20251231
anaclitism;;anaclitismo;A1;pack:inedita-20251231
anatidaephobia;;anatidaefobia;A1;pack:inedita-20251231
anguinous;;anguinoso;A1;pack:inedita-20251231
anthogenesis;;antogênese;A1;pack:inedita-20251231
antisemantic;;antissemita;A1;pack:inedita-20251231
anacrobic;;anacróbico;A1;pack:inedita-20251231
anathemization;;anatemização;A1;pack:inedita-20251231
angiport;;angiporto;A1;pack:inedita-20251231
anthropophobe;;antropofóbico;A1;pack:inedita-20251231
appendment;;apêndice;A1;pack:inedita-20251231
anode;;ânodo;A1;pack:inedita-20251231
antimony;;antimônio;A1;pack:inedita-20251231
anther;;Outro;A1;pack:inedita-20251231
annuitant;;Pensionista;A1;pack:inedita-20251231
anticyclone;;Anticiclone;A1;pack:inedita-20251231
annotate;;anotar;A1;pack:inedita-20251231
angler;;Tamboril;A1;pack:inedita-20251231
ans;;ativação;A1;pack:inedita-20251231
annexation;;Anexação;A1;pack:inedita-20251231
anthropocentric;;antropocêntrico;A1;pack:inedita-20251231
antipodes;;antípodas;A1;pack:inedita-20251231
antrum;;Antro;A1;pack:inedita-20251231
anklet;;Tornozeleira;A1;pack:inedita-20251231
antistrophe;;antistrofe;A1;pack:inedita-20251231
antiemetic;;antiemético;A1;pack:inedita-20251231
angelology;;Angelologia;A1;pack:inedita-20251231
announcer;;Locutor;A1;pack:inedita-20251231
anabaptist;;Anabatista;A1;pack:inedita-20251231
anaemic;;anêmico;A1;pack:inedita-20251231
anatomize;;anatomizar;A1;pack:inedita-20251231
anisette;;Anisete;A1;pack:inedita-20251231
anamorphic;;anamórfico;A1;pack:inedita-20251231
androgyny;;Androginia;A1;pack:inedita-20251231
anergy;;anergia;A1;pack:inedita-20251231
anglicism;;anglicismo;A1;pack:inedita-20251231
antivenin;;Soro antiofídico;A1;pack:inedita-20251231
analogical;;Analogico;A1;pack:inedita-20251231
antenuptial;;antenupcial;A1;pack:inedita-20251231
anuresis;;anurese;A1;pack:inedita-20251231
anu;;Mu.;A1;pack:inedita-20251231
ancestress;;Antepassado;A1;pack:inedita-20251231
aneurism;;aneurisma;A1;pack:inedita-20251231
ankylose;;anquilose;A1;pack:inedita-20251231
anaclitic;;anaclítico;A1;pack:inedita-20251231
anglophobe;;anglófobo;A1;pack:inedita-20251231
angrily;;irritada.;A1;pack:inedita-20251231
angulate;;angular;A1;pack:inedita-20251231
animatism;;(animatismo).;A1;pack:inedita-20251231
annulate;;anular;A1;pack:inedita-20251231
anaxagoras;;Anaxágoras de Clazômenas;A1;pack:inedita-20251231
analysand;;Psicanálise;A1;pack:inedita-20251231
animalize;;animalizar;A1;pack:inedita-20251231
androgenic;;Andrógeno;A1;pack:inedita-20251231
angelfish;;Peixe angélico;A1;pack:inedita-20251231
anointing;;unção;A1;pack:inedita-20251231
anthologist;;Antologia;A1;pack:inedita-20251231
animist;;Animismo;A1;pack:inedita-20251231
answering;;em resposta, respondendo;A1;pack:inedita-20251231
anthurium;;"<g id=""1"">Anthurium</g>";A1;pack:inedita-20251231
antiaircraft;;defesa antiaérea;A1;pack:inedita-20251231
antlered;;chifre;A1;pack:inedita-20251231
anaglyphic;;anaglífico;A2;pack:inedita-20251231
analyzable;;analisável;A2;pack:inedita-20251231
anisometric;;anisométrico;A2;pack:inedita-20251231
apparentness;;aparenteidade;A2;pack:inedita-20251231
analogist;;analogista;A2;pack:inedita-20251231
anchoress;;âncora;A2;pack:inedita-20251231
animistic;;Animismo;A2;pack:inedita-20251231
anklebone;;tornozelo;A2;pack:inedita-20251231
annalistic;;analístico;A2;pack:inedita-20251231
appreciatively;;apreciativamente;A2;pack:inedita-20251231
approachability;;Receptivo/Acessível;A2;pack:inedita-20251231
analogously;;analogamente;A2;pack:inedita-20251231
