english;ipa;portuguese;level;tags
forthcoming;;próximo;A1;pack:inedita_v3
forum;;fórum;A1;pack:inedita_v3
focused;;focado;A1;pack:inedita_v3
formulate;;formular;A1;pack:inedita_v3
foil;;folha;A1;pack:inedita_v3
fearful;;temeroso;A1;pack:inedita_v3
facilitated;;facilitado;A1;pack:inedita_v3
facilitates;;facilita;A1;pack:inedita_v3
fortunate;;afortunado;A1;pack:inedita_v3
foreground;;primeiro plano;A1;pack:inedita_v3
forestry;;silvicultura;A1;pack:inedita_v3
formed;;formado;A1;pack:inedita_v3
formative;;formativo;A1;pack:inedita_v3
fortress;;fortaleza;A1;pack:inedita_v3
fostered;;fomentado;A1;pack:inedita_v3
forces;;forças;A1;pack:inedita_v3
foreword;;prefácio;A1;pack:inedita_v3
facilitating;;facilitando;A1;pack:inedita_v3
ford;;vau;A1;pack:inedita_v3
foreman;;capataz;A1;pack:inedita_v3
folklore;;folclore;A1;pack:inedita_v3
formulation;;formulação;A1;pack:inedita_v3
fortified;;fortificado;A1;pack:inedita_v3
founded;;fundado;A1;pack:inedita_v3
facilities;;instalações;A1;pack:inedita_v3
formulated;;formulado;A1;pack:inedita_v3
formula;;fórmula;A1;pack:inedita_v3
font;;fonte;A1;pack:inedita_v3
fossil;;fóssil;A1;pack:inedita_v3
facing;;enfrentando;A1;pack:inedita_v3
federation;;federação;A1;pack:inedita_v3
featured;;destacado;A1;pack:inedita_v3
feelings;;sentimentos;A1;pack:inedita_v3
formation;;formação;A1;pack:inedita_v3
feeding;;alimentação;A1;pack:inedita_v3
forced;;forçado;A1;pack:inedita_v3
foregoing;;precedente;A1;pack:inedita_v3
feasibility;;viabilidade;A1;pack:inedita_v3
folks;;pessoas;A1;pack:inedita_v3
forged;;falsificado;A1;pack:inedita_v3
forms;;formulários;A1;pack:inedita_v3
fortunately;;felizmente;A1;pack:inedita_v3
forming;;formando;A1;pack:inedita_v3
features;;recursos;A1;pack:inedita_v3
facets;;facetas;A1;pack:inedita_v3
forgiveness;;perdão;A1;pack:inedita_v3
formally;;formalmente;A1;pack:inedita_v3
forecasting;;previsão;A1;pack:inedita_v3
fermentation;;fermentação;A1;pack:inedita_v3
format;;formato;A1;pack:inedita_v3
footing;;base;A1;pack:inedita_v3
formerly;;antigamente;A1;pack:inedita_v3
forcing;;forçando;A1;pack:inedita_v3
feminist;;feminista;A1;pack:inedita_v3
founding;;fundação;A1;pack:inedita_v3
folded;;dobrado;A1;pack:inedita_v3
felix;;feliz;A1;pack:inedita_v3
followers;;seguidores;A1;pack:inedita_v3
feminism;;feminismo;A1;pack:inedita_v3
fertilizer;;fertilizante;A1;pack:inedita_v3
focusing;;focando;A1;pack:inedita_v3
feared;;temido;A1;pack:inedita_v3
fellows;;companheiros;A1;pack:inedita_v3
feeds;;alimenta;A1;pack:inedita_v3
foods;;alimentos;A1;pack:inedita_v3
grin;;sorriso;A1;pack:inedita_v3
grim;;sombrio;A1;pack:inedita_v3
gracious;;gracioso;A1;pack:inedita_v3
gale;;vendaval;A1;pack:inedita_v3
glorious;;glorioso;A1;pack:inedita_v3
gloomy;;sombrio;A1;pack:inedita_v3
grove;;bosque;A1;pack:inedita_v3
gradually;;gradualmente;A1;pack:inedita_v3
graft;;enxerto;A1;pack:inedita_v3
growth;;crescimento;A1;pack:inedita_v3
gross;;bruto;A1;pack:inedita_v3
glad;;contente;A1;pack:inedita_v3
gratitude;;gratidão;A1;pack:inedita_v3
grounded;;aterrado;A1;pack:inedita_v3
greatness;;grandeza;A1;pack:inedita_v3
graceful;;gracioso;A1;pack:inedita_v3
grazing;;pastando;A1;pack:inedita_v3
gloria;;glória;A1;pack:inedita_v3
grounds;;terreno;A1;pack:inedita_v3
gravel;;cascalho;A1;pack:inedita_v3
grey;;cinza;A1;pack:inedita_v3
graphic;;gráfico;A1;pack:inedita_v3
grinding;;moagem;A1;pack:inedita_v3
glowing;;brilhante;A1;pack:inedita_v3
glanced;;olhado;A1;pack:inedita_v3
grinned;;sorriu;A2;pack:inedita_v3
gradient;;gradiente;A2;pack:inedita_v3
gladly;;com prazer;A2;pack:inedita_v3
granting;;concedendo;A2;pack:inedita_v3
grouping;;agrupamento;A2;pack:inedita_v3
gal;;garota;A2;pack:inedita_v3
growing;;crescendo;A2;pack:inedita_v3
graded;;graduado;A2;pack:inedita_v3
