id,english,ipa,portuguese,level,word_type,definition_en,definition_pt,example_en,example_pt,tags
42,abandon,,abandonar,A1,verb,,,I will not abandon my dog.,Eu não vou abandonar meu cachorro.,
53,abrupt,,exterior,A1,noun,,,The car stopped with an abrupt sound in the quiet street.,O carro parou com um som abrupto na rua tranquila.,
61,accent,,"acento, sotaque",A1,noun,,,She has a nice accent when she speaks English.,Ela tem um sotaque bonito quando fala inglês.,
62,accept,,aceitar,A1,verb,,,I will accept your invitation to the party.,Eu vou aceitar seu convite para a festa.,
73,ache,,dor contínua,A1,noun,,,I have an ache in my back after working all day.,Estou com dor nas costas depois de trabalhar o dia todo.,
74,achieve,,completar com sucesso,A1,verb,,,I want to achieve my goals this year.,Eu quero alcançar meus objetivos este ano.,
89,add,,"acrescentar, somar, adicionar",A1,verb,,,Please add some sugar to my tea.,"Por favor, adicione um pouco de açúcar ao meu chá.",
90,addict,,"viciado, adicto",A1,noun,,,He is an addict of video games.,Ele é viciado em videogames.,
95,adhesive,,"adesivo, aderente",A1,noun,,,I need some adhesive to fix my broken toy.,Eu preciso de um adesivo para consertar meu brinquedo quebrado.,
101,adopt,,adotar,A1,verb,,,I want to adopt a dog from the shelter.,Eu quero adotar um cachorro do abrigo.,
109,advertisement,,anúncio,A1,noun,,,I saw an advertisement for a new restaurant in my neighborhood.,Eu vi um anúncio de um novo restaurante no meu bairro.,
111,advise,,aconselhar,A1,verb,,,I advise you to drink water every day.,Eu aconselho você a beber água todos os dias.,
113,aerial,,aéreo,A1,noun,,,The aerial view of the city is very beautiful.,A vista aérea da cidade é muito bonita.,
127,age,,idade,A1,noun,,,What is your age?,Qual é a sua idade?,
128,agency,,agência,A1,noun,,,I went to the travel agency to book my holiday.,Eu fui à agência de viagens para reservar minhas férias.,
129,agent,,agente,A1,noun,,,The agent helps people buy and sell houses.,O agente ajuda as pessoas a comprar e vender casas.,
136,agriculture,,agricultura,A1,noun,,,Agriculture is important for growing food.,A agricultura é importante para cultivar alimentos.,
141,aim,,"propósito, alvo",A1,noun,,,My aim is to learn English.,Meu objetivo é aprender inglês.,
142,air,,ar,A1,noun,,,The air is fresh in the morning.,O ar é fresco de manhã.,
144,aircraft,,"aeronave, avião",A1,noun,,,The aircraft is flying high in the sky.,A aeronave está voando alto no céu.,
147,airport,,aeroporto,A1,noun,,,I will meet you at the airport.,Eu vou te encontrar no aeroporto.,
148,aisle,,corredor,A1,noun,,,I walk down the aisle in the supermarket to find some apples.,Eu caminho pelo corredor do supermercado para encontrar algumas maçãs.,
149,alarm,,alarme,A1,noun,,,I set the alarm for 7 AM.,Eu coloquei o despertador para as 7 da manhã.,
158,alley,,"beco, viela",A1,noun,,,I walked down the alley to get to the park.,Eu caminhei pela viela para chegar ao parque.,
161,allow,,permitir,A1,verb,,,My parents allow me to play outside after school.,Meus pais me permitem brincar fora de casa depois da escola.,
163,alone,,"só, sozinho",A1,adjective,,,I like to read a book when I am alone.,Eu gosto de ler um livro quando estou sozinho.,
172,although,,embora,A1,conjunction,,,"Although it is raining, I will go for a walk.","Embora esteja chovendo, eu vou dar uma caminhada.",
180,ambition,,surpreendente,A1,noun,,,Her ambition is to become a doctor.,A ambição dela é se tornar médica.,
189,an,,"um, uma",A1,determiner,,,I have an apple.,Eu tenho uma maçã.,
190,analysis,,análise,A1,noun,,,The teacher gave us an analysis of the story we read.,O professor nos deu uma análise da história que lemos.,
195,angel,,anjo,A1,noun,,,The girl has an angel on her Christmas tree.,A menina tem um anjo na árvore de Natal dela.,
197,anger,,"ira, raiva",A1,noun,,,His anger made him shout loudly.,A raiva dele o fez gritar alto.,
199,animal,,animal,A1,noun,,,The dog is a friendly animal.,O cachorro é um animal amigável.,
209,antenna,,antena,A1,noun,,,The cat climbed on the roof to play with the antenna.,O gato subiu no telhado para brincar com a antena.,
211,anticipate,,antecipar,A1,verb,,,I anticipate a sunny day tomorrow.,Eu espero um dia ensolarado amanhã.,
212,anxiety,,ansiedade,A1,noun,,,I feel anxiety when I speak in front of many people.,Eu sinto ansiedade quando falo na frente de muitas pessoas.,
214,any,,"algum, qualquer",A1,determiner,,,Do you have any apples?,Você tem algumas maçãs?,
220,apart,,separadamente,A1,adjective,,,The two cats sit apart from each other.,Os dois gatos sentam-se afastados um do outro.,
228,apple,,maçã,A1,noun,,,I eat an apple every day.,Eu como uma maçã todos os dias.,
245,architect,,arquiteto,A1,noun,,,The architect designs beautiful buildings.,O arquiteto projeta edifícios bonitos.,
246,are,,"presente de be usado com you, we,",A1,verb,,,You and I are friends.,Você e eu somos amigos.,
252,armor,,blindagem,A1,noun,,,The knight wore shiny armor to protect himself in battle.,O cavaleiro usava uma armadura brilhante para se proteger na batalha.,
253,army,,exército,A1,noun,,,The army helps to protect our country.,O exército ajuda a proteger nosso país.,
259,arrow,,"flecha, seta",A1,noun,,,The boy shot the arrow into the sky.,O menino atirou a flecha para o céu.,
260,art,,arte,A1,noun,,,I love to look at art in the museum.,Eu adoro olhar para a arte no museu.,
261,article,,artigo,A1,noun,,,I read an article about dogs in the magazine.,Eu li um artigo sobre cães na revista.,
271,aspect,,"aspecto, aparência",A1,noun,,,The most important aspect of a good friendship is trust.,O aspecto mais importante de uma boa amizade é a confiança.,
274,assault,,"assalto, agressão",A1,noun,,,The police are investigating the assault near the park.,A polícia está investigando a agressão perto do parque.,
289,athlete,,atleta,A1,noun,,,The athlete runs very fast in the race.,O atleta corre muito rápido na corrida.,
290,atlas,,atlas,A1,noun,,,I use an atlas to find the names of countries.,Eu uso um atlas para encontrar os nomes dos países.,
292,atom,,átomo,A1,noun,,,An atom is the smallest part of a thing.,Um átomo é a menor parte de uma coisa.,
294,attach,,"anexar, fixar",A1,verb,,,Please attach the document to your email.,"Por favor, anexe o documento ao seu e-mail.",
307,audio,,áudio,A1,noun,,,I listen to audio lessons every day to learn English.,Eu escuto aulas de áudio todos os dias para aprender inglês.,
309,august,,agosto,A1,adjective,,,My birthday is in August.,Meu aniversário é em agosto.,
317,automation,,automação,A1,noun,,,Automation helps machines do work faster.,A automação ajuda as máquinas a trabalhar mais rápido.,
318,automobile,,automóvel,A1,noun,,,I see an orange automobile on the street.,Eu vejo um automóvel laranja na rua.,
323,avocado,,abacate,A1,noun,,,I like to eat avocado on my toast for breakfast.,Eu gosto de comer abacate na minha torrada no café da manhã.,
