id,english,portuguese,level,word_type,definition_en,definition_pt,example_en,example_pt,tags
42,abandon,abandonar,A1,verb,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions.","Desistir ou renunciar ao controle, se render ou se entregar, ou ceder às próprias emoções.","","",needs_enrichment
53,abrupt,exterior,A1,noun,"The outside part, parts or surface of something.","A parte externa, partes ou superfície de algo.","","",needs_enrichment
61,accent,"acento, sotaque",A1,noun,A higher-pitched or stronger articulation of a particular syllable of a word or phrase in order to distinguish it from the others or to emphasize it.,"Uma articulação de tom mais agudo ou mais forte de uma sílaba particular de uma palavra ou frase, a fim de distingui-la das outras ou para enfatizá-la.","","",needs_enrichment
62,accept,aceitar,A1,verb,"To receive, especially with a consent, with favour, or with approval.","Receber, especialmente com consentimento, com favor ou com aprovação.","","",needs_enrichment
72,accustom,acostumar,A1,,,"""Accustom"" significa fazer algo se tornar normal ou familiar para alguém.",I will accustom my dog to the new house.,Eu vou acostumar meu cachorro com a nova casa.,"dict_en_404,needs_enrichment"
73,ache,dor contínua,A1,noun,"Continued dull pain, as distinguished from sudden twinges, or spasmodic pain.","Dor contínua e maçante, distinta de pontadas súbitas ou dor espasmódica.","","",needs_enrichment
74,achieve,completar com sucesso,A1,verb,"To succeed in something, now especially in academic performance.","Para ter sucesso em algo, especialmente agora, na performance acadêmica.","","",needs_enrichment
89,add,"acrescentar, somar, adicionar",A1,verb,An act or instance of adding.,Um ato ou instância de adicionar.,"","","verbo,needs_enrichment"
90,addict,"viciado, adicto",A1,noun,"A person who is addicted, especially to a harmful drug","Uma pessoa que é viciada, especialmente em uma droga prejudicial.","","",needs_enrichment
95,adhesive,"adesivo, aderente",A1,noun,"A substance, such as glue, that provides or promotes adhesion","Uma substância, como cola, que fornece ou promove adesão.","","",needs_enrichment
101,adopt,adotar,A1,verb,"To take by choice into relationship (a child, heir, friend, citizen, etc.)","Tomar por escolha em relacionamento (uma criança, herdeiro, amigo, cidadão, etc.)","","",needs_enrichment
109,advertisement,anúncio,A1,noun,"A commercial solicitation designed to sell some commodity, service or similar.","Uma solicitação comercial destinada a vender alguma mercadoria, serviço ou similar.","","",needs_enrichment
111,advise,aconselhar,A1,verb,"To give advice to; to offer an opinion to, as worthy or expedient to be followed.","Dar conselhos a; oferecer uma opinião a, como digna ou conveniente de ser seguida.","","",needs_enrichment
113,aerial,aéreo,A1,noun,"A rod, wire, or other structure for receiving or transmitting radio, television signals etc.","Uma haste, fio ou outra estrutura para receber ou transmitir sinais de rádio, televisão etc.","","",needs_enrichment
120,africa,África,A1,,,"África é um continente grande e diverso, localizado ao sul da Europa e ao oeste da Ásia. É conhecido por suas culturas, línguas e paisagens variadas.",I want to visit Africa and see the animals in the wild.,"""Eu quero visitar a África e ver os animais na natureza.""","dict_en_404,needs_enrichment"
121,african,africano,A1,,,"""African"" é um adjetivo que se refere a algo ou alguém que vem da África.",The African elephant is very big and lives in the savanna.,O elefante africano é muito grande e vive na savana.,"dict_en_404,needs_enrichment"
124,afterward(s),"depois, mais tarde, posteriormente",A1,"posteriormente""",,"""Afterward(s)"" significa ""depois"" ou ""mais tarde"". É usado para falar sobre algo que acontece após outra coisa.","We had lunch, and afterward, we went for a walk in the park.","Almoçamos e, depois, fomos dar uma volta no parque.",needs_enrichment
127,age,idade,A1,noun,"The whole duration of a being, whether animal, plant, or other kind, being alive.","Toda a duração de um ser, seja animal, planta ou outro tipo, estando vivo.","","",needs_enrichment
128,agency,agência,A1,noun,"The capacity, condition, or state of acting or of exerting power.","A capacidade, condição ou estado de agir ou de exercer poder.","","",needs_enrichment
129,agent,agente,A1,noun,"One who exerts power, or has the power to act","Aquele que exerce poder, ou tem o poder de agir.","","",needs_enrichment
136,agriculture,agricultura,A1,noun,"The art or science of cultivating the ground, including the harvesting of crops, and the rearing and management of livestock","A arte ou ciência de cultivar a terra, incluindo a colheita de culturas e a criação e manejo de gado.","","",needs_enrichment
141,aim,"propósito, alvo",A1,noun,"The pointing of a weapon, as a gun, a dart, or an arrow, or object, in the line of direction with the object intended to be struck; the line of fire; the direction of anything, such as a spear, a blow, a discourse, a remark, towards a particular point or object, with a view to strike or affect it.","A apontagem de uma arma, como uma pistola, um dardo ou uma flecha, ou objeto, na linha de direção com o objeto que se pretende atingir; a linha de fogo; a direção de qualquer coisa, como uma lança, um golpe, um discurso, um comentário, em direção a um ponto ou objeto específico, com a intenção de atingir ou afetar.","","",needs_enrichment
142,air,ar,A1,noun,"The substance constituting earth's atmosphere, particularly:","A substância que constitui a atmosfera da Terra, particularmente:","","",needs_enrichment
144,aircraft,"aeronave, avião",A1,noun,"A vehicle capable of atmospheric flight due to interaction with the air, such as buoyancy or lift","Um veículo capaz de voo atmosférico devido à interação com o ar, como flutuabilidade ou sustentação.","","",needs_enrichment
146,airplane/plane,avião,A1,,,Um avião é um veículo que voa pelo ar e transporta pessoas e coisas de um lugar para outro.,I see an airplane in the sky.,Eu vejo um avião no céu.,needs_enrichment
147,airport,aeroporto,A1,noun,"An airfield (an area designated for the takeoff and landing of aircraft), including one or more runways and (for commercial airports) one or more passenger terminals.","Um aeródromo (uma área designada para a decolagem e aterrissagem de aeronaves), incluindo uma ou mais pistas e (para aeroportos comerciais) um ou mais terminais de passageiros.","","",needs_enrichment
148,aisle,corredor,A1,noun,"A wing of a building, notably in a church separated from the nave proper by piers.","Uma ala de um edifício, notavelmente em uma igreja, separada da nave propriamente dita por pilares.","","",needs_enrichment
