id,english,portuguese,level,word_type,example_en,example_pt,missing_example_en,missing_example_pt
43,abduct,abduzir,A1,verb,,,True,True
44,abduction,abduÃ§Ã£o,A1,noun,,,True,True
45,ability,habilidade,A1,noun,,,True,True
46,able,"""capacitado"," apto""",A1,FÃ¡cil de usar.,,False,True
47,aboard,a bordo,A1,adverb,,,True,True
48,abort,"""abortar"," interromper""",A1,,,True,True
49,abortion,aborto,A1,noun,,,True,True
50,about,"""cerca de", mais ou menos,,,,True,True
54,absent,ausente,A1,noun,,,True,True
55,absent-minded,absolute,A1,adjective,,,True,True
56,absorb,"""absorver"," sugar""",A1,,,True,True
57,abstain,"""abster-se"," privar-se de""",A1,Manter-se ou reter-se.,,False,True
58,abstract,abstrato,,,,,True,True
59,abuse,abusar,,,,,True,True
60,accelerate,acelerar,A1,verb,,,True,True
63,access,acesso,,,,,True,True
65,accompany,acompanhar,A1,verb,,,True,True
66,accomplish,"""concluir"," terminar""",A1,Para terminar com sucesso.,,False,True
67,according,"""segundo"," conforme""",A1,,,True,True
68,account,conta,A1,noun,,,True,True
69,accountant,contador,A1,noun,,,True,True
70,accumulate,acumular,A1,verb,,,True,True
71,accuse,acusar,A1,noun,,,True,True
75,acid,Ã¡cido,A1,noun,,,True,True
76,acknowledge,"""reconhecer"," admitir""",A1,,,True,True
77,acquaint,"""inteirar"," informar""",A1,,,True,True
78,acquaintance,"""conhecido", familiar,,,,True,True
79,acquire,"""adquirir"," possuir""",A1,Obter.,,False,True
80,acquit,"""quitar",,,,,True,True
81,across,atravÃ©s,A1,preposition,Uma palavra que corre horizontalmente na grade do quebra-cabeÃ§a completado ou sua pista associada.,,False,True
82,act,ato,,,,,True,True
83,action,aÃ§Ã£o,A1,noun,,,True,True
84,active,ativo,A1,noun,,,True,True
86,actual,"""real"," existente""",A1, real one,,False,True
87,ad,anÃºncio,A1,noun,,,True,True
88,adapt,adaptar,A1,verb,,,True,True
91,addition,"""soma"," adiÃ§Ã£o""",A1,O ato de adicionar qualquer coisa.,,False,True
92,additional,"""adicional"," suplementar""",A1,Algo adicionado.,,False,True
93,address,endereÃ§ar,,,,,True,True
94,adequate,adequado,A1,verb,,,True,True
96,adjust,ajustar,A1,verb,,,True,True
97,administration,administraÃ§Ã£o,A1,noun,,,True,True
98,admire,admirar,A1,verb,,,True,True
99,admission,"""admissÃ£o"," permissÃ£o""",A1,O ato ou prÃ¡tica de admitir.,,False,True
100,admit,admitir,A1,verb,,,True,True
102,adore,adorar,A1,verb,,,True,True
103,adorn,"""decorar"," adornar""",A1,Adorno,,False,True
104,adult,adulto,A1,noun,,,True,True
105,advance,avanÃ§ar,,,,,True,True
106,advantage,vantagem,,,,,True,True
107,adventure,aventura,A1,noun,,,True,True
108,advertise,anunciar,A1,verb,,,True,True
110,advice,conselho,A1,noun,,,True,True
111,advise,aconselhar,A1,verb,,,True,True
112,advocate,"""defensor",,,,,True,True
114,affair,"""afazeres", interesses [plural],,,,True,True
117,affirm,afirmar,A1,verb,,,True,True
118,afford,proporcionar,,,,,True,True
119,afraid,com medo,A1,adjective, be afraid) Impressed with fear or apprehension,,False,True
122,after,depois de,A1,preposition,,,True,True
124,afterward(s),"""depois", mais tarde," posteriormente""",,"""""""Afterward(s)"""" significa """"depois"""" ou """"mais tarde"""". Ã‰ usado para falar sobre algo que acontece apÃ³s outra coisa.""",True,False
125,again,"""de novo"," outra vez""",A1,,,True,True
126,against,contra,A1,preposition,,,True,True
130,ago,atrÃ¡s [tempo],A1,adjective,,,True,True
131,agree,concordar,A1,verb, or action,,False,True
132,agreement,acordo,,,,,True,True
133,aggregate,"""agregar", juntar,,,,True,True
134,aggressive,agressivo,A1,adjective,,,True,True
135,agile,Ã¡gil,A1,adjective,,,True,True
137,ah,ah [alÃ­vio,,,,,True,True
138,ahead,em frente,A1,adverb,,,True,True
139,aid,"""ajuda", auxÃ­lio,,,,True,True
140,ail,"""socorro"," ajuda""",A1,,,True,True
143,air-conditioning,sistema de ar condicionado,A1,noun,,,True,True
145,airline,companhia aÃ©rea,A1,noun,,,True,True
150,alcohol,Ã¡lcool,A1,noun,,,True,True
151,alert,alerta,,,,,True,True
152,alias,"""vulgo", tambÃ©m conhecido como,,,,True,True
159,alliance,"""alianÃ§a"," uniÃ£o""",A1,O estado de estar aliado.,,False,True
162,almost,quase,A1,adverb,,,True,True
164,along,ao longo de,A1,adverb,,,True,True
165,aloud,em voz alta,A1,adjective,,,True,True
166,alphabet,alfabeto,A1,noun,,,True,True
168,also,tambÃ©m,A1,adverb,,,True,True
169,altar,altar,A1,noun,,,True,True
170,alter,alterar,A1,verb,,,True,True
171,alternative,alternativa,A1,noun,,,True,True
173,altogether,"""completamente"," inteiramente""",A1,,,True,True
174,aluminum,alumÃ­nio,A1,noun,,,True,True
175,always,sempre,A1,adverb,,,True,True
177,a.m,antes do meio dia,A1,," que se traduz como """"antes do meio-dia.""",,False,True
178,amateur,antes do meio-dia,A1,noun,,,True,True
179,amazing,amador,A1,verb,,,True,True
181,ambulance,ambulÃ¢ncia,A1,noun,,,True,True
182,amend,"""emendar", corrigir," retificar""",(usually in the plural) An act of righting a wrong,,False,True
183,america,AmÃ©rica [do Norte ou do Sul],,,,,True,True
185,among,entre [mais de dois],A1,preposition,,,True,True
186,amount,"""quantia",,,,,True,True
187,ample,"""amplo"," espaÃ§oso""",A1,,,True,True
188,amuse,"""divertir"," entreter""",A1,,,True,True
192,ancestor,ancestral,A1,noun, at any distance of time,,False,True
193,anchor,Ã¢ncora,A1,noun,,,True,True
194,ancient,"""antigo"," velho""",A1,Uma pessoa muito velha.,,False,True
196,angle,Ã¢ngulo,A1,noun,,,True,True
198,angry,zangado,A1,adjective,,,True,True
200,ankle,tornozelo,A1,noun,,,True,True
201,anniversary,"""aniversÃ¡rio [exceto de nascimento]"," dia""",A1,Um dia que Ã© um nÃºmero exato de anos (atÃ© o dia) desde que um evento significativo ocorreu. Frequentemente precedido por um nÃºmero ordinal indicando o nÃºmero de anos.,,False,True
202,announce,anunciar,A1,verb,,,True,True
203,annoy,"""irritar"," aborrecer""",A1,Uma sensaÃ§Ã£o de desconforto ou aborrecimento causada pelo que se desgosta.,,False,True
204,annoying,irritante,A1,verb,,,True,True
205,annual,anual,A1,noun,,,True,True
206,another,um outro,A1,determiner,,,True,True
207,answer,responder,,,,,True,True
210,anthem,"""hino"," cÃ¢ntico""",A1,AntÃ­fona.,,False,True
213,anxious,ansioso,A1,adjective,,,True,True
215,anybody,"""alguÃ©m [em frases interrogativas]","""",A1,,,True,True
216,anyhow,de qualquer forma,A1,adverb,,,True,True
217,anyone,"""alguÃ©m [em frases interrogativas]","""",A1,,,True,True
218,anything,qualquer coisa em frases,A1,noun,,,True,True
219,anyway,"""de qualquer modo"," apesar de""",A1,,,True,True
221,apartment,apartamento,A1,noun,,,True,True
223,apologize,desculpar-se,A1,verb,,,True,True
224,apology,desculpa,,,,,True,True
225,apparent,aparente,A1,adjective,,,True,True
226,appeal,"""apelar", recorrer,,,,True,True
227,appear,aparecer,A1,verb,,,True,True
229,applicant,"""candidato", pretendente," requerente""",One who applies for something,,False,True
230,application,"""formulÃ¡rio", requerimento, ficha,,,True,True
231,apply,"""candidatar-se",,,,,True,True
232,appointment,compromisso,A1,noun,,,True,True
233,appreciate,agradecer,,,,,True,True
234,apprehend,apreender,A1,verb,,,True,True
235,apprehension,apreensÃ£o,A1,noun,,,True,True
236,approach,"""aproximar",,,,,True,True
237,appropriate,acesso,A1,verb,,,True,True
238,approve,aprovar,A1,verb,,,True,True
239,approximate,aproximado,,,,,True,True
241,apt,apto,A1,adjective,,,True,True
244,arch,"""arco",,,,,True,True
247,area,Ã¡rea,A1,noun,,,True,True
248,argentina,Argentina,A1,,,,True,True
249,Argentinean,Argentino,A1,adjective,,,True,True
Argentinean: A common variation," especially in the United States.""",,,,,,True,True
Argentinean: Uma variaÃ§Ã£o comum," especialmente nos Estados Unidos""",Este Ã© um exemplo com o argentino.,dict_en_404,,,,True,True
251,armchair,"""cadeira de braÃ§os"," poltrona""",A1,Uma cadeira com apoios para os braÃ§os ou cotovelos.,,False,True
254,around,"""ao redor de"," por volta de""",A1,Presente nas proximidades.,,False,True
255,arrange,ordenar,,,,,True,True
257,arrival,chegada,A1,noun,,,True,True
258,arrive,chegar,A1,verb,,,True,True
263,as," É™z*""",tanto quanto,,,,True,True
265,ashamed,envergonhado,A1,verb,,,True,True
266,asia,Ãsia,A1,,,,True,True
269,ask,pedir,,,,,True,True
270,asleep,adormecido,A1,adjective,,,True,True
272,assail,atacar,,,,,True,True
275,assemble,montar,A1,verb,,,True,True
276,assess,"""avaliar",,,,,True,True
277,assign,designar,,,,,True,True
278,assist,"""ajuda",,,,,True,True
279,assistant,"""assistente"," auxiliar""",A1,,,True,True
280,associate,associado,,,,,True,True
281,association,associaÃ§Ã£o,A1,noun,,,True,True
283,assume,assumir,A1,verb,,,True,True
284,assure,garantir,,,,,True,True
285,astonish,causar espanto,A1,verb,,,True,True
286,asylum,"""asilo"," abrigo""",A1,Um lugar seguro.,,False,True
288,ate,passado de eat,A1,verb,,,True,True
291,atmosphere,atmosfera,A1,noun,,,True,True
293,atomic,atÃ´mico,A1,noun,,,True,True
295,attachment,anexo,A1,noun,,,True,True
296,attack,atacar,,,,,True,True
297,attain,"""atingir"," alcanÃ§ar""",A1,Obter (um objeto ou resultado desejado).,,False,True
298,attempt,tentativa,A1,noun,,,True,True
299,attend,"""assistir"," frequentar""",A1,,,True,True
300,attendant,"""assistente", assessor,,,,True,True
301,attention,atenÃ§Ã£o,A1,noun,,,True,True
302,attitude,atitude,A1,noun,,,True,True
303,attorney,advogado,A1,noun,,,True,True
304,attract,atrair,A1,verb,,,True,True
305,auction,leilÃ£o,,,,,True,True
306,audience,"""audiÃªncia",,,,,True,True
308,auditorium,auditÃ³rio,A1,noun,,,True,True
310,aunt,tia,A1,noun,,,True,True
314,authority,autoridade,A1,noun,,,True,True
316,automatic,automÃ¡tico,A1,noun,,,True,True
319,autumn,outono,A1,noun,,,True,True
320,available,disponÃ­vel,A1,adjective,,,True,True
322,average,mÃ©dia,A1,noun,,,True,True
324,avoid,evitar,A1,verb,,,True,True
325,awake,"""acordado"," desperto""",A1,,,True,True
326,award,premiaÃ§Ã£o,,,,,True,True
327,aware,"""consciente"," alerta""",A1,Vigilante ou em guarda contra perigos ou dificuldades.,,False,True
328,away,"""fora"," longe""",A1,,,True,True
329,awful,"""terrÃ­vel"," assustador""",A1,Muito ruim.,,False,True
331,baby,"""bebÃª", nenÃª,,,,True,True
333,back,costas,,,,,True,True
334,background,"""fundo", parte mais distante,,,,True,True
335,backup,"""reserva", sobressalente,,,,True,True
336,backward,para trÃ¡s,,,,,True,True
338,bacterium,bactÃ©ria,A1,noun," mas sem nÃºcleo ou organelas.""",,False,True
340,badge,crachÃ¡,,,,,True,True
343,baggage,bagagem,A1,noun,,,True,True
347,bake,cozer ao forno,A1,noun,,,True,True
349,bakery,padaria,A1,noun," como bolos) Ã© assado e/ou vendido.""",,False,True
350,balance,"""equilÃ­brio", harmonia,,,,True,True
352,ballet,balÃ©,A1,noun,,,True,True
354,ballot,"""cÃ©dula", chapa eleitoral,,,,True,True
355,banal,"""banal"," trivial""",A1, to the point of being predictable,,False,True
356,banana,banana,A1,noun," tem uma polpa cremosa e uma casca lisa.""",,False,True
357,band,banda,,,,,True,True
358,bangs,franja [cabelo],A1,noun,,,True,True
359,banister,corrimÃ£o,A1,noun,,,True,True
360,bank,"""banco"," estabelecimento bancÃ¡rio""",A1,Uma instituiÃ§Ã£o onde se pode depositar e emprestar dinheiro e cuidar de assuntos financeiros.,,False,True
363,barber,barbeiro,A1,noun,,,True,True
364,bare,despido,,,,,True,True
365,bargain,pechincha,A1,noun,,,True,True
368,base,"""base"," suporte""",A1,,,True,True
371,bashful,"""tÃ­mido"," envergonhado""",A1,,,True,True
374,basin,pia,,,,,True,True
375,basis,base [fundamento],A1,noun,,,True,True
377,bat,morcego,,,,,True,True
378,bath,banho,A1,noun,,,True,True
383,bay,baÃ­a,A1,noun,,,True,True
384,be,"""ser"," estar""",A1,,,True,True
387,bead,conta de colar,,,,,True,True
388,beak,bico [de ave],A1,noun,,,True,True
389,beam,feixe luminoso,,,,,True,True
390,bean,feijÃ£o,,,,,True,True
391,bear,urso,,,,,True,True
393,beast,"""besta", fera,,,,True,True
394,beat,bater [tambÃ©m passado e particÃ­pio passado],A1,noun,,,True,True
395,beautiful,bonito,A1,noun,,,True,True
396,beauty,beleza,A1,noun, fine or good-looking,,False,True
397,became,passado de become,A1,verb,Chegar.,,False,True
398,because,porque,A1,conjunction,,,True,True
406,beetle,besouro,,,,,True,True
407,before,antes de,A1,preposition,,,True,True
408,beg,"""pedir"," suplicar""",A1,,,True,True
410,beggar,"""mendigo"," pedinte""",A1,Uma pessoa que pede.,,False,True
411,begin,comeÃ§ar,A1,verb,,,True,True
413,behalf,"""interesse", favor," benefÃ­cio""",,"""""""Behalf"""" significa agir ou falar por outra pessoa ou em nome dela.""",True,False
418,belief,crenÃ§a,A1,noun,,,True,True
421,belong,pertencer,A1,verb,,,True,True
422,beloved,"""bem-amado"," querido""",A1,Para agradar.,,False,True
423,below,"""embaixo de"," abaixo""",A1,Em um lugar mais baixo.,,False,True
426,bend,"""dobrar"," curvar""",A1,Uma curva.,,False,True
427,beneath,debaixo de,A1,adverb,,,True,True
428,benefit,"""ajuda", benefÃ­cio,,,,True,True
431,beside,ao lado de,A1,adverb,,,True,True
432,besides,alÃ©m de,A1,adverb,,,True,True
434,bestow,"""conceder"," doar""",A1,,,True,True
435,bet,apostar,,,,,True,True
436,better,melhor [melhor que],A1,adverb, deemed superior to another,,False,True
438,beverage,bebida de qualquer espÃ©cie,A1,noun,,,True,True
440,beyond,alÃ©m de,A1,noun,,,True,True
442,bid,bicicleta,A1,verb,,,True,True
443,big,grande,A1,noun,,,True,True
446,bill,"""conta",,,,,True,True
447,billboard,propaganda,A1,noun,,,True,True
450,biology,biologia,A1,noun,,,True,True
452,birth,nascimento,A1,noun,,,True,True
453,birthday,aniversÃ¡rio de nascimento,A1,noun,,,True,True
456,bit,pequeno pedaÃ§o,,,,,True,True
457,bite,morder,A1,noun,,,True,True
458,bitten,particÃ­pio passado de bite,A1,verb,,,True,True
462,blackmail,"""extorsÃ£o", chantagem,,,,True,True
463,blackout,"""apagÃ£o"," corte total de luz""",A1,Uma perda temporÃ¡ria de consciÃªncia.,,False,True
465,blame,"""culpar", censurar,,,,True,True
471,bled,passado e particÃ­pio passado de bleed,A1,verb,,,True,True
473,blend,mistura,A1,noun,,,True,True
475,bless,abenÃ§oar,A1,verb,Santificar.,,False,True
476,blew,passado de blow,A1,verb,,,True,True
477,blind,cego,A1,noun,,,True,True
478,blink,piscar de olhos,A1,noun,,,True,True
483,blood,sangue,A1,noun,,,True,True
484,bloom,"""flor", floraÃ§Ã£o,,,,True,True
485,blossom,flor de Ã¡rvore frutÃ­fera,,,,,True,True
486,blot,"""borrar", manchar,,,,True,True
488,blow,"""soprar", ventar,,,,True,True
489,blown,particÃ­pio passado de blow,A1,verb,,,True,True
490,blue,azul,,,,,True,True
491,blue-collar,relativo a trabalho que exige esforÃ§o fÃ­sico,A1,adjective,,,True,True
492,bluff,blefe,A1,noun,,,True,True
494,blush,corar,A1,noun,,,True,True
495,bord, tÃ¡bua,,,,,True,True
496,boast,"""gabar-se",,,,,True,True
497,boat,barco,,,,,True,True
498,body,corpo,A1,noun,,,True,True
499,bodyguard,guarda-costas,,,,,True,True
500,boil,ferver,,,,,True,True
501,bold,"""corajoso", audacioso,,,,True,True
502,bolt,raio,,,,,True,True
504,bond,"""elo",,,,,True,True
506,book,"""livro",,,,,True,True
508,boom,"""surto", progresso rÃ¡pido,,,,True,True
509,boot,bota,,,,,True,True
516,borrow,pedir emprestado,A1,noun,,,True,True
518,boss,"""chefe"," patrÃ£o""",A1,,,True,True
522,bottleneck,gargalo,,,,,True,True
526,bound,"""particÃ­pio passado de bind",,,,,True,True
528,bow,"""arco",,,,,True,True
529,bowl,tigela,,,,,True,True
530,box,caixa,,,,,True,True
534,bra,sutiÃ£,A1,noun,,,True,True
535,brace,"""suporte", apoio,,,,True,True
537,braid,tranÃ§a,,,,,True,True
540,brake,"""freio"," breque""",A1,,,True,True
542,branch,"""galho",,,,,True,True
543,brand,marca,,,,,True,True
544,brandy,conhaque,,,,,True,True
550,break,"""quebrar",,,,,True,True
551,breakdown,"""quebra", falha,,,,True,True
553,breast,seio,A1,noun,,,True,True
556,bred,passado e particÃ­pio passado de breed,A1,verb,,,True,True
557,breed,"""raÃ§a", espÃ©cie,,,,True,True
559,brew,fazer cerveja,,,,,True,True
560,bribe,"""suborno", propina,,,,True,True
562,bride,noiva [no dia do casamento],,,,,True,True
567,bright,"""brilhante", luminoso, vivo [cor],,,True,True
568,brilliant,"""muito brilhante",,,,,True,True
569,brim,"""borda", beira,,,,True,True
571,bristle,cerda,,,,,True,True
574,broadcast,transmitir,,,,,True,True
579,brook,"""riacho"," cÃ³rrego""",A1,,,True,True
581,brother,irmÃ£o,A1,noun,,,True,True
583,brow,sobrancelha,A1,noun,,,True,True
584,brown,"""castanho"," marrom""",A1,Uma cor como a do chocolate ou do cafÃ©.,,False,True
586,browse,navegar na internet,A1,noun,,,True,True
587,browser,"""navegador"," programa para navegar na internet""",A1,Uma pessoa ou animal que pastoreia.,,False,True
588,bruise,contundir,,,,,True,True
589,brunet,moreno,A1,noun,,,True,True
591,brush,pincel,,,,,True,True
593,brute,"""bruto", rude," grosseiro""",An animal seen as being without human reason,,False,True
595,bubble,"""bolha", borbulha,,,,True,True
596,bucket,balde,,,,,True,True
597,buckle,fivela,A1,verb,,,True,True
598,bud,"""botÃ£o", broto,,,,True,True
600,buffet,"""bufÃª",,,,,True,True
601,bug,bicho [inseto que rasteja],A1,noun,,,True,True
602,build,construir,A1,noun,,,True,True
603,building,prÃ©dio,A1,noun,,,True,True
604,built,passado e particÃ­pio passado de build,A1,verb,,,True,True
605,bulb,lÃ¢mpada,,,,,True,True
607,bull,touro,A1,noun,,,True,True
609,bully,"""valentÃ£o",,,,,True,True
611,bump,"""galo",,,,,True,True
613,bundle,"""fardo"," rolo""",A1,Um grupo de objetos mantidos juntos por embrulhar ou amarrar.,,False,True
614,burden,"""carga"," fardo""",A1,Uma carga pesada.,,False,True
615,bureau,"""repartiÃ§Ã£o pÃºblica"," agÃªncia de serviÃ§os pÃºblicos""",A1,,,True,True
616,bureaucracy,burocracia,A1,noun,,,True,True
617,burglar,ladrÃ£o,A1,noun,,,True,True
618,burn,queimar,,,,,True,True
619,burst,estourar [tambÃ©m passado e particÃ­pio passado],A1,noun,,,True,True
620,bury,"""enterrar"," sepultar""",A1,Uma toca.,,False,True
622,bus station,terminal rodoviÃ¡rio,A1,noun,,,True,True
623,bus stop,ponto de Ã´nibus,A1,noun,,,True,True
624,bush,"""arbusto"," mato""",A1, being usually less than six metres tall,,False,True
625,business,negÃ³cio,A1,noun,,,True,True
628,bustle,"""apressar-se", afobar-se,,,,True,True
629,busy,ocupado,A1,noun,,,True,True
630,but,"""mas"," porÃ©m""",A1,"""Um exemplo de uso da palavra """"mas"""".""",,False,True
631,butcher,aÃ§ougueiro,A1,noun,,,True,True
632,butter,manteiga,A1,noun,Um alimento macio e gorduroso feito ao bater o creme do leite (geralmente leite de vaca).,,False,True
635,buy,comprar,A1,noun,,,True,True
637,buzz,zumbir,,,,,True,True
639,bye,"""tchau"," adeus""",A1, or is awarded points for a win in a league table,,False,True
640,bypass,"""passagem secundÃ¡ria", desvio,,,,True,True
641,by-product,"""subproduto"," derivado""",A1,,,True,True
642,byte,unidade de informaÃ§Ã£o composta por oito bits,A1,noun,,,True,True
643,cab,tÃ¡xi,A1,noun,,,True,True
647,cable,"""cabo", fio,,,,True,True
653,calf,"""panturrilha",,,,,True,True
654,call,"""chamar",,,,,True,True
655,calm,"""calmo"," sereno""",A1,,,True,True
661,can,"""lata",,,,,True,True
665,cancel,cancelar,A1,noun,,,True,True
670,cane,cana,,,,,True,True
673,canvas,lona,,,,,True,True
676,capable,"""capaz"," apto""",A1,,,True,True
678,cape,cabo [geografia],,,,,True,True
679,capital,capital,,,,,True,True
680,captain,capitÃ£o,A1,noun,,,True,True
