id,english,ipa,portuguese,level,word_type,definition_en,definition_pt,example_en,example_pt,tags
228,apple,æpəl,maçã,A1,noun,"A common, round fruit produced by the tree Malus domestica, cultivated in temperate climates.","Uma fruta comum e redonda produzida pela árvore Malus domestica, cultivada em climas temperados.",,,needs_enrichment
245,architect,ɑ:rk ətɛkt,arquiteto,A1,noun,"A professional who designs buildings or other structures, or who prepares plans and superintends construction.","Um profissional que projeta edifícios ou outras estruturas, ou que prepara planos e supervisiona a construção.",,,needs_enrichment
246,are,"ɑ:r , ər*","presente de be usado com you, we,",A1,verb,"An accepted (but deprecated and rarely used) SI unit of area equal to 100 square metres, or a former unit of approximately the same extent. Symbol: a.","Uma unidade SI aceita (mas obsoleta e raramente utilizada) de área igual a 100 metros quadrados, ou uma unidade anterior de aproximadamente a mesma extensão. Símbolo: a.",,,"verbo,needs_enrichment"
252,armor,ɑ:rm ər,blindagem,A1,noun,"A protective layer over a body, vehicle, or other object intended to deflect or diffuse damaging forces.","Uma camada protetora sobre um corpo, veículo ou outro objeto destinada a desviar ou difundir forças danosas.",,,needs_enrichment
253,army,ɑ:rmi,exército,A1,noun,"A large, highly organized military force, concerned mainly with ground (rather than air or naval) operations.","Uma grande força militar altamente organizada, preocupada principalmente com operações terrestres (em vez de aéreas ou navais).",,,needs_enrichment
259,arrow,ɛroʊ,"flecha, seta",A1,noun,"A projectile consisting of a shaft, a point and a tail with stabilizing fins that is shot from a bow.","Um projétil composto por um eixo, uma ponta e uma cauda com estabilizadores que é disparado de um arco.",,,needs_enrichment
260,art,ɑ:rt,arte,A1,noun,"The conscious production or arrangement of sounds, colours, forms, movements, or other elements in a manner that affects the senses and emotions, usually specifically the production of the beautiful in a graphic or plastic medium.","A produção ou arranjo consciente de sons, cores, formas, movimentos ou outros elementos de uma maneira que afeta os sentidos e as emoções, geralmente especificamente a produção do belo em um meio gráfico ou plástico.",,,needs_enrichment
261,article,ɑ:rt ɪkəl,artigo,A1,noun,"A piece of nonfictional writing such as a story, report, opinion piece, or entry in a newspaper, magazine, journal, dictionary, encyclopedia, etc.","Um texto de não ficção, como uma história, relatório, artigo de opinião ou entrada em um jornal, revista, diário, dicionário, enciclopédia, etc.",,,needs_enrichment
271,aspect,æspɛkt,"aspecto, aparência",A1,noun,"Any specific feature, part, or element of something.","Qualquer característica, parte ou elemento específico de algo.",,,needs_enrichment
274,assault,əsɑ:lt,"assalto, agressão",A1,noun,"A violent onset or attack with physical means, for example blows, weapons, etc.","Um ataque ou início violento com meios físicos, por exemplo, golpes, armas, etc.",,,needs_enrichment
289,athlete,æθli:t,atleta,A1,noun,"A participant in a group of sporting activities which includes track and field, road running, cross country running and racewalking.","Um participante em um grupo de atividades esportivas que inclui atletismo, corrida de rua, corrida de cross country e marcha atlética.",,,needs_enrichment
290,atlas,ætləs,atlas,A1,noun,"A bound collection of maps often including tables, illustrations or other text.","Uma coleção encadernada de mapas, frequentemente incluindo tabelas, ilustrações ou outro texto.",,,needs_enrichment
292,atom,ætəm,átomo,A1,noun,"The smallest possible amount of matter which still retains its identity as a chemical element, now known to consist of a nucleus surrounded by electrons.","A menor quantidade possível de matéria que ainda mantém sua identidade como um elemento químico, agora conhecida por consistir em um núcleo cercado por elétrons.",,,needs_enrichment
294,attach,ətætʃ,"anexar, fixar",A1,verb,"To fasten, to join to (literally and figuratively).","Apertar, unir a (literal e figurativamente).",,,needs_enrichment
307,audio,ɑ:dio ʊ,áudio,A1,noun,"A sound, or a sound signal","Um som, ou um sinal sonoro",,,needs_enrichment
309,august,ɑ:g əst,agosto,A1,adjective,"Awe-inspiring, majestic, noble, venerable.","Impressionante, majestoso, nobre, venerável.",,,needs_enrichment
317,automation,ɑ:t ɑ:me ɪʃən,automação,A1,noun,"The act or process of converting the controlling of a machine or device to a more automatic system, such as computer or electronic controls.","O ato ou processo de converter o controle de uma máquina ou dispositivo para um sistema mais automático, como controles computadorizados ou eletrônicos.",,,needs_enrichment
