token,ok,status_code,error
accustom,no,404,
acesso,no,404,
acima,no,404,
africa,no,404,
african,no,404,
afterward,yes,200,
afterwards,yes,200,
airplane,yes,200,
amador,no,404,
america,no,404,
american,no,404,
april,no,404,
arabia,no,404,
arabian,no,404,
argentina,no,404,
argumentar,no,404,
arrepio,no,404,
arrumar,no,404,
asia,no,404,
asian,no,404,
australia,no,404,
australian,no,404,
be,no,404,
behalf,no,404,
bicicleta,no,404,
brazilian,no,404,
british,no,404,
caloria,no,404,
camelo,no,404,
caminho,no,404,
canada,no,404,
canadian,no,404,
cansado,no,404,
cavalgar,no,404,
check-out,no,404,
chinese,no,404,
christmas,no,404,
combinar,no,404,
completamente,no,429,
compor,no,429,
compreender,no,429,
compromisso,no,429,
computador,no,429,
computar,no,429,
conceito,no,429,
considerar,no,429,
contexto,no,429,
continente,no,429,
continuar,no,429,
contratuais,no,429,
controle,no,429,
correio,no,429,
couro,no,429,
cunhado,no,429,
december,no,429,
depender,no,429,
deprimente,no,429,
deprimir,no,429,
desligado,no,429,
dinamite,no,429,
disputar,no,429,
distrito,no,429,
dizer,no,429,
dose,no,429,
e-book,no,429,
egypt,no,429,
egyptian,no,429,
emocionante,no,429,
empolgante,no,429,
encorajamento,no,429,
england,no,429,
entusiasmo,no,429,
equipamento,no,429,
eu,no,429,
europe,no,429,
european,no,429,
every,no,429,
exportar,no,429,
fachada,no,429,
fahrenheit,no,429,
falecimento,no,429,
february,no,429,
flap,no,429,
for,no,429,
france,no,429,
friday,no,429,
gabar-se,no,404,
gerenciamento,no,404,
germany,no,404,
greece,no,404,
hierarquizar,no,404,
honesto,no,404,
honra,no,404,
iludir,no,404,
inconstante,no,404,
independente,no,404,
india,no,404,
indian,no,404,
internacional,no,404,
interpretar,no,404,
interromper,no,404,
intervalo,no,404,
investigar,no,404,
ipa,no,404,
is,no,404,
italian,no,404,
italy,no,404,
january,no,404,
japanese,no,404,
july,no,404,
june,no,404,
labareda,no,429,
lanterna,no,429,
latin,no,429,
levado,no,429,
lives,no,429,
localizar,no,429,
look,no,429,
maluco,no,429,
marido,no,429,
martelo,no,429,
mel,no,429,
mencionar,no,429,
mesmos,no,429,
mesmosas,no,429,
metropolitano,no,429,
mexican,no,429,
monday,no,429,
motivo,no,429,
motocicleta,no,429,
motorizado,no,429,
movimento,no,429,
mrs,no,429,
net,no,429,
nivelado,no,429,
nora,no,429,
november,no,429,
october,no,429,
ordenar,no,429,
our,no,429,
palavra,no,429,
para-brisa,no,429,
partida,no,429,
passatempo,no,429,
perturbar,no,429,
pesquisador,no,429,
phase,no,429,
plane,no,429,
pneu,no,429,
portugal,no,429,
portuguese,no,429,
postar,no,429,
precipitado,no,429,
prefeitura,no,429,
presentear,no,429,
preservar,no,429,
presidente,no,429,
pressentimento,no,429,
privilegiar,no,429,
probabilidade,no,429,
processo,no,429,
progredir,no,429,
publicidade,no,429,
quadril,no,429,
quarta-feira,no,429,
rape,no,429,
rapist,no,429,
relaxamento,no,429,
repentinamente,no,429,
russia,no,429,
russian,no,429,
sadio,no,429,
satisfazer,no,429,
saturday,no,429,
saxofone,no,429,
september,no,429,
sequestrar,no,429,
smoothy,no,429,
sogra,no,429,
spain,no,429,
stor,no,429,
subjugar,no,429,
suicide,no,429,
sunday,no,404,
surpreendente,no,404,
tecelagem,no,404,
their,no,404,
thousandth,no,404,
thursday,no,404,
tight,no,404,
touch,no,404,
tow,no,404,
tuesday,no,404,
unir,no,404,
universidade,no,404,
universo,no,404,
viajante,no,404,
vinho,no,404,
was,no,404,
your,no,404,
