id,english,ipa,portuguese,level,word_type,definition_en,definition_pt,example_en,example_pt,tags
42,abandon,əbændən,abandonar,A1,verb,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions.","Desistir ou renunciar ao controle, se render ou se entregar, ou ceder às próprias emoções.",I will not abandon my dog.,Eu não vou abandonar meu cachorro.,needs_enrichment
43,abduct,æbdəkt,abduzir,A1,verb,To take away by force; to carry away (a human being) wrongfully and usually with violence or deception; to kidnap.,Levar à força; transportar (um ser humano) de maneira errada e geralmente com violência ou engano; sequestrar.,The police were searching for a woman who had gone to abduct a child from her school.,A polícia estava procurando uma mulher que havia ido se aproximar de um menino em sua escola.,needs_enrichment
44,abduction,æbdəkʃən,abdução,A1,noun,Leading away; a carrying away.,Levando embora; um transporte.,The police were still looking for her after she went missing during a family abduction at the bus station yesterday.,As polícias ainda estavam procurando por ela após ela desaparecer durante uma emboscada de família em um terminal rodoviário ontem.,needs_enrichment
45,ability,əbɪləti,habilidade,A1,noun,Suitableness.,Adequação.,She has a good ability to draw pictures.,Ela tem habilidade boa de desenhar quadros.,needs_enrichment
46,able,eɪbəl,"capacitado, apto",A1,adjective,Easy to use.,Fácil de usar.,FÃ¡cil de usar.,Facil de usar.,needs_enrichment
47,aboard,əbord,a bordo,A1,adverb,"On board; into or within a ship or boat; hence, into or within a railway car.","A bordo; dentro ou dentro de um navio ou barco; portanto, dentro ou dentro de um vagão de trem.",The family walked aboard the boat to go fishing.,A família subiu na barca para ir pescar.,needs_enrichment
48,abort,əbort,"abortar, interromper",A1,noun,A miscarriage; an untimely birth; an abortion.,Um aborto espontâneo; um nascimento prematuro; um aborto.,The doctor recommended that we abort the pregnancy to ensure the mother's health.,O médico recomendou abortar a gravidez para garantir a saúde da mãe.,needs_enrichment
49,abortion,əborʃən,aborto,A1,noun,"The expulsion from the womb of a foetus or embryo before it is fully developed, with loss of the foetus; either naturally as a spontaneous abortion (now usually called a miscarriage), or deliberately as an induced abortion.","A expulsão do útero de um feto ou embrião antes de estar totalmente desenvolvido, com a perda do feto; seja naturalmente como um aborto espontâneo (agora geralmente chamado de aborto espontâneo), ou deliberadamente como um aborto induzido.","In some countries, there are strict laws about abortion and women's reproductive rights.","Em alguns países, existem leis rigorosas sobre aborto e direitos reprodutivos das mulheres.",needs_enrichment
50,about,əbaʊt,"cerca de, mais ou menos; acerca de, a",A1,preposition,Moving around; astir.,Movendo-se; agitado.,I'd like to know about your weekend plans.,Eu gostaria de saber sobre seus planos para o fim de semana.,"preposição,needs_enrichment"
51,above,əbəv,respeito de,A1,preposition,Heaven.,Céu.,The bird is flying above the trees.,O pássaro está voando acima das árvores.,"preposição,needs_enrichment"
52,abroad,əbrɑ:d,acima,A1,noun,Countries or lands abroad.,Países ou terras no exterior.,I want to study abroad next year.,Eu quero estudar fora no próximo ano.,needs_enrichment
